

Colorado (PST) SNOTEL Site Grizzly Peak - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Mar 23 11:54:49 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,
505,2021-01-01,,   -11.2,    12.6,   -11.4,    -7.2,
505,2021-01-02,,   -10.0,    11.2,   -18.0,    -7.9,
505,2021-01-03,,    -9.9,    -4.2,   -13.4,    -9.8,
505,2021-01-04,,    -7.6,    18.6,   -17.7,    -7.3,
505,2021-01-05,,    -3.2,    -0.2,   -18.7,    -6.1,
505,2021-01-06,,   -11.3,    -2.4,   -11.5,    -6.7,
505,2021-01-07,,    -7.9,    -4.1,   -15.8,    -9.8,
505,2021-01-08,,   -12.9,    25.5,   -12.9,    -6.3,
505,2021-01-09,,    -8.7,     7.5,   -14.0,    -9.4,
505,2021-01-10,,   -14.1,    -3.6,   -14.6,    -9.1,
505,2021-01-11,,   -16.0,    14.2,   -20.6,   -12.3,
505,2021-01-12,,    -9.8,    -2.7,   -16.7,   -10.3,
505,2021-01-13,,    -4.6,    17.4,   -10.3,    -5.3,
505,2021-01-14,,    -9.6,    24.4,   -12.1,    -3.0,
505,2021-01-15,,   -12.6,    -9.7,   -21.2,   -12.3,
505,2021-01-16,,    -7.1,    -3.6,   -13.0,    -8.1,
505,2021-01-17,,    -8.4,    26.6,   -13.2,    -6.6,
505,2021-01-18,,    -5.3,    -2.2,    -8.6,    -5.4,
505,2021-01-19,,   -13.0,    -4.9,   -14.4,    -9.2,
505,2021-01-20,,    -9.1,    -2.3,   -18.5,    -9.1,
505,2021-01-21,,    -6.7,    -0.2,   -10.5,    -5.7,
505,2021-01-22,,    -6.1,    -1.6,   -14.6,    -5.7,
505,2021-01-23,,    -7.5,    -1.9,   -13.6,    -5.3,
505,2021-01-24,,   -12.6,-99.9,   -12.6,    -6.6,
505,2021-01-25,,   -10.0,    -4.1,   -13.2,    -8.8,
505,2021-01-26,,   -13.7,    -7.5,   -15.6,   -11.1,
505,2021-01-27,,   -13.6,    -7.9,   -16.0,   -11.7,
505,2021-01-28,,    -6.4,    -2.6,   -17.9,    -9.0,
505,2021-01-29,,    -2.6,     3.5,    -7.1,    -2.3,
505,2021-01-30,,    -7.4,    17.9,    -9.7,    -1.9,
505,2021-01-31,,   -10.2,    21.7,   -10.6,    -7.5,
505,2021-02-01,,    -5.5,     0.3,   -20.8,    -7.6,
505,2021-02-02,,    -4.0,     3.3,    -5.8,    -1.8,
505,2021-02-03,,    -2.3,     4.4,    -5.9,    -1.3,
505,2021-02-04,,   -11.0,     2.5,   -11.0,    -3.0,
505,2021-02-05,,   -12.4,    -8.5,   -19.3,   -12.5,
505,2021-02-06,,   -11.2,    -9.1,   -12.8,   -11.0,
505,2021-02-07,,    -8.5,    -6.8,   -12.5,    -9.8,
505,2021-02-08,,    -7.4,    -2.1,   -14.5,    -7.3,
505,2021-02-09,,    -5.3,    13.4,    -8.4,    -5.8,
505,2021-02-10,,    -5.3,    -1.1,    -6.2,    -4.2,
505,2021-02-11,,    -7.0,    -2.5,    -8.4,    -5.5,
505,2021-02-12,,    -5.5,    21.7,    -8.5,    -5.3,
