

Colorado (PST) SNOTEL Site Grizzly Peak - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Mar 23 11:54:07 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,
505,2002-01-01,,   -10.5,    -5.5,   -15.1,   -10.9,
505,2002-01-02,,   -19.8,    -6.2,   -19.8,   -11.7,
505,2002-01-03,,   -12.0,    -5.6,   -20.3,   -13.7,
505,2002-01-04,,    -8.0,     1.0,   -12.0,    -6.6,
505,2002-01-05,,   -14.6,    -7.3,   -16.1,   -11.0,
505,2002-01-06,,   -10.5,    -6.9,   -17.7,   -11.9,
505,2002-01-07,,    -4.5,    -4.5,   -10.5,    -7.2,
505,2002-01-08,,    -4.6,    -0.4,    -5.6,    -3.6,
505,2002-01-09,,    -1.4,     2.9,    -5.8,    -1.8,
505,2002-01-10,,    -5.1,     0.6,    -5.1,    -2.0,
505,2002-01-11,,   -10.4,    -1.8,   -12.3,    -8.3,
505,2002-01-12,,   -10.3,    -3.6,   -11.8,    -8.3,
505,2002-01-13,,    -5.5,     0.0,   -10.2,    -5.2,
505,2002-01-14,,   -16.9,    -5.8,   -16.9,   -11.9,
505,2002-01-15,,   -10.8,    -4.0,   -18.5,   -10.8,
505,2002-01-16,,   -11.3,    -2.2,   -11.3,    -7.1,
505,2002-01-17,,   -11.6,    -5.8,   -17.0,   -10.9,
505,2002-01-18,,   -14.7,    -6.8,   -17.7,   -13.0,
505,2002-01-19,,   -22.0,    -9.3,   -22.0,   -15.5,
505,2002-01-20,,   -13.1,    -5.4,   -24.2,   -15.0,
505,2002-01-21,,   -13.0,   -12.8,   -16.5,   -15.0,
505,2002-01-22,,   -10.6,    -2.2,   -13.5,    -9.4,
505,2002-01-23,,   -14.5,    -2.7,   -14.5,    -8.2,
