

Colorado (PST) SNOTEL Site Grizzly Peak - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Mar 23 11:54:29 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,
505,2012-01-01,,   -14.1,    -0.4,   -15.9,    -9.9,
505,2012-01-02,,    -6.7,     0.2,   -14.1,    -6.0,
505,2012-01-03,,    -3.4,     3.6,    -8.4,    -3.4,
505,2012-01-04,,    -8.1,     3.4,    -8.2,    -2.7,
505,2012-01-05,,    -4.4,     2.1,    -8.7,    -3.7,
505,2012-01-06,,    -5.0,     5.8,    -5.1,    -1.2,
505,2012-01-07,,    -6.9,    -0.8,    -7.8,    -4.6,
505,2012-01-08,,   -12.4,    -3.2,   -12.8,    -6.9,
505,2012-01-09,,   -12.5,    -6.6,   -15.3,   -12.5,
505,2012-01-10,,    -6.1,     1.3,   -12.6,    -6.1,
505,2012-01-11,,    -8.7,     2.6,    -8.8,    -4.0,
505,2012-01-12,,   -20.6,    -6.1,   -20.6,   -13.6,
505,2012-01-13,,   -14.6,    -7.2,   -20.8,   -14.5,
505,2012-01-14,,   -11.9,    -6.9,   -15.4,   -11.1,
505,2012-01-15,,    -4.5,     1.8,   -12.1,    -5.0,
505,2012-01-16,,    -8.1,     1.3,    -8.7,    -4.4,
505,2012-01-17,,   -19.8,    -4.0,   -19.8,    -9.3,
505,2012-01-18,,   -12.8,   -11.7,   -22.8,   -17.2,
505,2012-01-19,,    -6.0,    -4.0,   -12.9,    -8.0,
505,2012-01-20,,    -3.5,     1.4,    -6.0,    -2.3,
505,2012-01-21,,    -8.7,    -2.5,    -8.7,    -4.9,
505,2012-01-22,,    -5.4,     1.7,    -8.8,    -3.1,
505,2012-01-23,,   -13.4,    -5.3,   -14.8,   -10.6,
505,2012-01-24,,    -7.8,    -1.4,   -13.6,    -7.9,
505,2012-01-25,,   -13.6,    -4.0,   -13.8,    -8.2,
505,2012-01-26,,    -7.0,     1.0,   -14.4,    -7.1,
505,2012-01-27,,    -7.3,    -0.3,   -10.2,    -5.6,
505,2012-01-28,,   -16.0,    -7.3,   -16.7,   -11.8,
505,2012-01-29,,   -12.3,    -5.1,   -18.3,   -12.1,
505,2012-01-30,,    -7.5,    -0.8,   -12.6,    -6.2,
505,2012-01-31,,    -6.4,     1.6,    -7.8,    -4.4,
505,2012-02-01,,   -10.6,    -1.7,   -12.0,    -7.7,
505,2012-02-02,,    -7.8,    -0.2,   -12.2,    -6.6,
505,2012-02-03,,    -9.8,    -3.2,    -9.8,    -7.4,
505,2012-02-04,,   -12.8,    -8.4,   -13.5,   -10.7,
505,2012-02-05,,   -14.1,    -5.7,   -16.4,   -12.0,
505,2012-02-06,,   -13.4,    -2.7,   -15.3,   -10.8,
505,2012-02-07,,   -15.5,    -5.9,   -15.5,   -10.5,
505,2012-02-08,,   -10.7,    -4.6,   -16.4,   -10.8,
