

Colorado (PST) SNOTEL Site Grizzly Peak - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Mar 23 11:52:59 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,
505,1987-01-01,,   -13.9,    -9.2,   -21.0,   -15.8,
505,1987-01-02,,    -8.1,    -3.3,   -18.2,   -10.4,
505,1987-01-03,,   -17.5,    -7.5,   -13.9,    -9.9,
505,1987-01-04,,    -8.4,    -3.2,   -18.0,   -11.0,
505,1987-01-05,,    -6.3,     0.7,    -8.5,    -5.0,
505,1987-01-06,,   -10.9,     1.0,   -10.4,    -6.0,
505,1987-01-07,,   -12.8,    -4.9,   -12.2,    -9.7,
505,1987-01-08,,   -13.1,    -7.2,   -16.3,   -12.1,
505,1987-01-09,,   -20.4,    -8.4,   -17.5,   -13.2,
505,1987-01-10,,   -19.0,   -10.6,   -21.2,   -16.8,
505,1987-01-11,,   -10.5,    -2.9,   -19.2,   -12.5,
505,1987-01-12,,    -4.1,     4.8,   -14.1,    -5.9,
505,1987-01-13,,    -4.9,     7.3,    -5.2,    -1.6,
505,1987-01-14,,   -15.2,     6.8,    -9.7,    -2.5,
505,1987-01-15,,   -15.3,    -5.4,   -16.6,   -12.4,
505,1987-01-16,,   -17.6,   -13.9,   -19.2,   -16.1,
505,1987-01-17,,   -20.5,    -8.6,   -21.0,   -16.4,
505,1987-01-18,,   -21.1,    -9.5,   -22.4,   -18.4,
505,1987-01-19,,   -15.9,   -11.3,   -22.1,   -16.0,
505,1987-01-20,,   -23.4,   -11.9,   -23.1,   -16.9,
505,1987-01-21,,   -16.9,   -13.0,   -50.0,   -20.6,
505,1987-01-22,,   -19.2,   -13.8,   -20.9,   -17.3,
505,1987-01-23,,   -10.7,    -7.4,   -19.9,   -13.5,
505,1987-01-24,,   -11.2,    -1.6,   -11.5,    -7.6,
505,1987-01-25,,    -9.3,    -7.0,   -11.5,   -10.2,
505,1987-01-26,,    -7.4,    -7.0,   -10.5,    -8.3,
505,1987-01-27,,    -9.0,    -0.2,    -9.3,    -6.1,
505,1987-01-28,,    -5.8,     3.2,    -9.8,    -5.6,
505,1987-01-29,,   -18.4,     0.6,   -13.6,    -5.6,
505,1987-01-30,,   -13.0,    -4.3,   -18.5,   -12.6,
505,1987-01-31,,   -10.1,     3.0,   -14.8,    -7.0,
505,1987-02-01,,   -10.7,     0.5,   -12.4,    -7.8,
505,1987-02-02,,    -9.3,     1.1,   -12.4,    -6.4,
505,1987-02-03,,    -7.9,     2.9,    -9.7,    -4.0,
505,1987-02-04,,    -9.5,     2.8,    -8.7,    -4.1,
505,1987-02-05,,   -17.4,    -1.5,   -13.5,    -7.5,
505,1987-02-06,,   -14.5,    -1.8,   -18.1,   -11.2,
505,1987-02-07,,    -8.8,     3.0,   -14.5,    -7.3,
505,1987-02-08,,    -6.3,     5.7,    -9.5,    -3.9,
505,1987-02-09,,    -5.2,     7.8,    -6.8,    -2.1,
505,1987-02-10,,    -8.9,     6.1,    -8.6,    -2.7,
505,1987-02-11,,    -6.6,     1.1,    -9.3,    -5.2,
505,1987-02-12,,   -10.2,     2.6,    -9.6,    -5.2,
505,1987-02-13,,    -7.3,     5.9,   -10.3,    -4.9,
505,1987-02-14,,    -5.6,     1.6,    -7.3,    -4.1,
505,1987-02-15,,-99.9,-99.9,-99.9,-99.9,
505,1987-02-16,,   -13.7,    -2.2,   -15.7,    -9.6,
505,1987-02-17,,   -13.2,    -4.5,   -14.7,   -10.7,
505,1987-02-18,,   -18.4,    -6.8,   -15.9,   -11.5,
505,1987-02-19,,   -15.0,    -6.8,   -18.5,   -13.4,
505,1987-02-20,,   -15.6,    -8.0,   -16.5,   -13.4,
505,1987-02-21,,   -19.3,    -7.0,   -17.6,   -13.9,
505,1987-02-22,,   -17.9,    -3.4,   -20.0,   -14.3,
505,1987-02-23,,   -12.7,    -2.7,   -18.1,   -12.3,
505,1987-02-24,,   -13.0,    -3.2,   -15.3,   -10.7,
505,1987-02-25,,    -9.5,    -2.6,   -13.4,   -10.1,
505,1987-02-26,,    -9.1,    -3.7,   -11.4,    -8.4,
505,1987-02-27,,   -16.6,    -5.4,   -13.1,    -8.9,
505,1987-02-28,,   -19.0,   -10.4,   -19.4,   -15.3,
505,1987-03-01,,   -16.4,    -3.0,   -19.0,   -13.2,
505,1987-03-02,,   -12.4,     1.2,   -16.6,    -9.8,
505,1987-03-03,,   -11.2,     4.5,   -13.0,    -6.7,
505,1987-03-04,,    -7.1,     5.4,   -11.9,    -5.3,
505,1987-03-05,,    -3.3,    10.1,    -8.7,    -1.6,
505,1987-03-06,,    -3.0,    14.0,    -5.1,     1.7,
505,1987-03-07,,    -3.3,    15.0,    -3.6,     2.7,
505,1987-03-08,,    -4.5,    12.3,    -4.1,     1.4,
505,1987-03-09,,    -6.9,     4.5,    -7.4,    -3.4,
505,1987-03-10,,    -9.4,     1.4,    -7.4,    -4.8,
505,1987-03-11,,   -11.0,     0.5,   -11.3,    -7.2,
505,1987-03-12,,   -13.5,     2.2,   -12.3,    -7.4,
505,1987-03-13,,    -7.5,     6.4,   -14.5,    -5.2,
505,1987-03-14,,   -10.1,     8.7,    -7.9,    -2.1,
505,1987-03-15,,    -6.5,     1.7,   -10.2,    -6.9,
505,1987-03-16,,    -6.5,     1.1,    -8.5,    -4.4,
505,1987-03-17,,    -9.4,    -0.8,   -11.4,    -6.6,
505,1987-03-18,,   -10.3,    -4.0,   -13.5,    -8.6,
505,1987-03-19,,    -8.7,     1.8,   -12.9,    -6.5,
505,1987-03-20,,    -8.9,     5.3,    -9.4,    -4.2,
505,1987-03-21,,   -17.7,    -6.4,   -17.0,   -10.4,
505,1987-03-22,,   -11.7,    -0.7,   -19.3,   -10.5,
505,1987-03-23,,   -17.5,    -0.4,   -12.7,    -8.9,
505,1987-03-24,,   -16.4,    -4.5,   -17.8,   -12.3,
505,1987-03-25,,   -19.5,    -6.7,   -17.3,   -12.7,
505,1987-03-26,,   -13.4,    -2.0,   -19.7,   -12.4,
505,1987-03-27,,   -13.2,     1.0,   -15.9,    -9.7,
505,1987-03-28,,   -18.2,    -8.8,   -17.3,   -12.8,
505,1987-03-29,,   -21.6,    -7.5,   -21.4,   -16.4,
505,1987-03-30,,   -18.2,    -5.2,   -22.4,   -16.7,
505,1987-03-31,,   -12.5,    -4.6,   -24.3,   -12.7,
505,1987-04-01,,    -8.6,     4.7,   -13.9,    -6.0,
505,1987-04-02,,   -18.9,     4.7,   -12.4,    -4.5,
505,1987-04-03,,    -9.7,     0.6,   -19.2,    -9.3,
505,1987-04-04,,    -5.4,     6.9,   -11.0,    -2.6,
505,1987-04-05,,   -10.6,     6.9,   -11.0,    -2.6,
505,1987-04-06,,   -11.1,     1.4,   -12.1,    -6.1,
505,1987-04-07,,    -7.7,     4.8,   -12.5,    -5.4,
505,1987-04-08,,    -8.7,     5.8,   -11.5,    -4.1,
505,1987-04-09,,    -7.4,     5.6,    -9.3,    -2.3,
505,1987-04-10,,    -9.1,     0.0,    -8.1,    -5.1,
505,1987-04-11,,    -5.6,     4.0,   -10.2,    -3.4,
505,1987-04-12,,    -4.6,     4.2,    -6.0,    -1.6,
505,1987-04-13,,   -13.3,    -1.0,   -12.0,    -6.2,
505,1987-04-14,,   -12.6,    -3.3,   -14.7,    -9.8,
505,1987-04-15,,    -3.9,     6.8,   -12.9,    -3.5,
505,1987-04-16,,-99.9,-99.9,-99.9,-99.9,
505,1987-04-17,,-99.9,-99.9,-99.9,-99.9,
505,1987-04-18,,-99.9,-99.9,-99.9,-99.9,
505,1987-04-19,,-99.9,-99.9,-99.9,-99.9,
505,1987-04-20,,-99.9,-99.9,-99.9,-99.9,
505,1987-04-21,,-99.9,-99.9,-99.9,-99.9,
505,1987-04-22,,-99.9,-99.9,-99.9,-99.9,
505,1987-04-23,,-99.9,-99.9,-99.9,-99.9,
505,1987-04-24,,-99.9,-99.9,-99.9,-99.9,
505,1987-04-25,,-99.9,-99.9,-99.9,-99.9,
505,1987-04-26,,-99.9,-99.9,-99.9,-99.9,
505,1987-04-27,,-99.9,-99.9,-99.9,-99.9,
505,1987-04-28,,    -0.7,    11.5,     0.0,     3.9,
505,1987-04-29,,    -0.3,    12.0,    -1.4,     3.5,
505,1987-04-30,,    -0.1,    11.7,    -0.9,     3.6,
505,1987-05-01,,     0.0,    14.3,    -0.4,     3.8,
505,1987-05-02,,    -2.9,    12.0,    -1.6,     2.9,
505,1987-05-03,,    -3.6,     6.5,    -4.2,    -0.6,
505,1987-05-04,,    -3.1,     2.4,    -4.6,    -1.7,
505,1987-05-05,,    -2.0,     6.2,    -3.2,     0.0,
505,1987-05-06,,    -1.8,     7.9,    -3.1,     0.3,
505,1987-05-07,,    -3.4,    10.8,    -2.8,     2.0,
505,1987-05-08,,    -0.8,    14.4,    -3.5,     4.0,
505,1987-05-09,,    -0.4,    13.8,    -1.5,     5.4,
505,1987-05-10,,    -0.3,    13.3,    -0.4,     5.4,
505,1987-05-11,,    -1.6,    14.4,    -0.6,     4.4,
505,1987-05-12,,    -0.1,    12.7,    -1.7,     3.2,
505,1987-05-13,,     0.0,    12.4,    -0.3,     4.1,
505,1987-05-14,,     0.5,    15.1,    -0.3,     4.6,
505,1987-05-15,,     0.5,    14.7,     0.0,     5.0,
505,1987-05-16,,     2.3,    15.2,     0.3,     6.9,
505,1987-05-17,,     0.8,    13.4,     1.5,     5.3,
505,1987-05-18,,     0.7,    12.7,     0.4,     4.7,
505,1987-05-19,,    -0.5,    11.9,     0.0,     4.0,
505,1987-05-20,,     0.4,    11.7,    -1.0,     4.0,
505,1987-05-21,,    -2.6,     7.7,    -0.9,     1.9,
505,1987-05-22,,    -4.5,     7.3,    -3.2,     0.8,
505,1987-05-23,,    -1.8,     9.7,    -4.5,     2.0,
505,1987-05-24,,    -0.7,    11.6,    -1.8,     3.8,
505,1987-05-25,,    -4.2,     7.3,    -1.9,     0.4,
505,1987-05-26,,     6.8,    11.4,    -4.3,     2.4,
505,1987-05-27,,    -5.4,     9.3,    -5.2,     1.4,
505,1987-05-28,,    -4.5,     7.5,    -5.7,     0.0,
505,1987-05-29,,    -3.7,     9.5,    -4.6,     1.0,
505,1987-05-30,,    -0.5,     8.4,    -3.7,     0.8,
505,1987-05-31,,    -1.0,    10.0,    -2.3,     2.4,
505,1987-06-01,,     3.2,    14.8,    -1.3,     6.3,
505,1987-06-02,,    -2.1,    15.3,     1.3,     7.9,
505,1987-06-03,,    -2.6,    13.8,    -2.7,     5.3,
505,1987-06-04,,     1.2,    14.8,    -2.7,     6.2,
505,1987-06-05,,     3.1,    19.2,     1.2,     9.7,
505,1987-06-06,,     4.3,    21.2,     3.1,    10.0,
505,1987-06-07,,     3.5,    19.3,     3.4,     8.5,
505,1987-06-08,,     3.6,    16.9,     3.3,     7.7,
505,1987-06-09,,     4.5,    15.7,     3.2,     6.8,
505,1987-06-10,,     6.2,    11.5,     1.3,     5.3,
505,1987-06-11,,     2.0,    15.0,     0.0,     6.0,
505,1987-06-12,,     3.7,    17.5,     1.6,     8.3,
505,1987-06-13,,     3.7,    18.2,     3.0,     9.1,
505,1987-06-14,,     7.2,    19.3,     3.5,     9.8,
505,1987-06-15,,     4.5,    20.1,     3.7,    10.3,
505,1987-06-16,,     4.5,    20.6,     4.2,    10.3,
505,1987-06-17,,     3.4,    19.9,     4.3,    10.7,
505,1987-06-18,,    13.6,    18.3,     3.1,     9.7,
505,1987-06-19,,     2.0,    18.5,     2.4,     9.7,
505,1987-06-20,,     3.6,    19.4,     1.9,    10.5,
505,1987-06-21,,     3.0,    19.2,     2.9,    10.5,
505,1987-06-22,,     4.4,    19.9,     2.9,     9.3,
505,1987-06-23,,     3.5,    21.8,     3.8,    11.8,
505,1987-06-24,,    12.5,    19.5,     3.2,    10.7,
505,1987-06-25,,     3.0,    18.0,     4.0,     9.5,
505,1987-06-26,,     3.1,    21.0,     2.9,    11.2,
505,1987-06-27,,     4.6,    20.9,     3.0,    11.2,
505,1987-06-28,,     5.7,    20.3,     4.4,    11.3,
505,1987-06-29,,     5.3,    19.8,     5.5,    10.2,
505,1987-06-30,,     2.7,     6.9,     2.1,     4.5,
505,1987-07-01,,     2.1,    11.5,     2.4,     5.4,
505,1987-07-02,,     5.1,    16.3,     1.5,     8.2,
505,1987-07-03,,     4.1,    20.9,     4.4,    11.4,
505,1987-07-04,,     4.6,    19.7,     4.1,    11.3,
505,1987-07-05,,     3.2,    19.9,     4.0,    10.9,
505,1987-07-06,,    20.4,    18.0,     2.5,    10.2,
505,1987-07-07,,     3.9,    21.2,     4.6,    12.4,
505,1987-07-08,,     4.3,    19.5,     3.4,    10.3,
505,1987-07-09,,     6.2,    19.9,     4.2,    10.5,
505,1987-07-10,,     6.1,    21.9,     6.0,    12.8,
505,1987-07-11,,     8.5,    20.9,     5.8,    12.3,
505,1987-07-12,,     4.6,    17.5,     3.4,     8.5,
505,1987-07-13,,    -1.4,    12.2,    -0.7,     4.0,
505,1987-07-14,,     2.8,    15.1,    -1.5,     6.2,
505,1987-07-15,,     4.0,    17.2,     2.3,     9.1,
505,1987-07-16,,     5.6,    21.8,     3.4,    11.9,
505,1987-07-17,,     4.8,    21.3,     5.4,    12.1,
505,1987-07-18,,     1.1,    19.2,     1.5,     7.3,
505,1987-07-19,,     3.1,    17.4,     0.4,     8.5,
505,1987-07-20,,    20.0,    21.0,     3.0,    11.2,
505,1987-07-21,,     7.0,    21.6,     3.7,    12.2,
505,1987-07-22,,     6.9,    22.3,     5.4,    13.2,
505,1987-07-23,,     7.7,    23.0,     6.9,    13.8,
505,1987-07-24,,     7.5,    25.2,     7.6,    14.8,
505,1987-07-25,,     9.0,    25.8,     7.5,    14.8,
505,1987-07-26,,     6.3,    23.9,     7.3,    14.0,
505,1987-07-27,,     6.3,    21.1,     5.9,    12.4,
505,1987-07-28,,-99.9,-99.9,-99.9,-99.9,
505,1987-07-29,,     6.4,    21.0,     4.8,     9.1,
505,1987-07-30,,     6.6,    21.5,     6.2,    11.6,
505,1987-07-31,,     7.7,    23.5,     7.7,    15.3,
505,1987-08-01,,     5.0,    20.0,     6.0,    11.0,
505,1987-08-02,,     5.5,    23.0,     4.6,    10.3,
505,1987-08-03,,     7.1,    22.9,     5.2,    11.2,
505,1987-08-04,,     3.7,    16.9,     5.3,     9.9,
505,1987-08-05,,     5.8,    20.1,     3.7,    11.5,
505,1987-08-06,,     8.0,    20.8,     5.1,    11.8,
505,1987-08-07,,     6.0,    20.4,     7.0,    10.9,
505,1987-08-08,,     3.5,    16.5,     4.4,     9.0,
505,1987-08-09,,     3.8,    18.5,     3.2,     9.2,
505,1987-08-10,,     4.1,    18.6,     3.8,     9.7,
505,1987-08-11,,     5.9,    17.9,     3.7,     9.9,
505,1987-08-12,,     4.6,    20.5,     5.4,    10.6,
505,1987-08-13,,     3.5,    18.7,     3.8,     9.5,
505,1987-08-14,,     2.1,    18.6,     2.8,     7.1,
505,1987-08-15,,     2.8,    15.7,     2.1,     7.5,
505,1987-08-16,,     0.8,    19.7,     1.3,     9.3,
505,1987-08-17,,     2.5,    16.5,     0.4,     7.9,
505,1987-08-18,,     2.2,    17.9,     2.5,     9.6,
505,1987-08-19,,     4.4,    19.2,     2.0,     9.5,
505,1987-08-20,,     7.0,    21.4,     4.2,    12.2,
505,1987-08-21,,     7.1,    22.5,     6.4,    11.7,
505,1987-08-22,,     5.7,    17.9,     5.7,     9.8,
505,1987-08-23,,     5.5,    11.0,     5.1,     6.9,
