

Colorado (PST) SNOTEL Site Grizzly Peak - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Mar 23 11:53:03 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,
505,1989-01-01,,   -12.9,    -1.7,   -13.7,   -10.0,
505,1989-01-02,,   -11.7,    -8.0,   -14.9,   -12.1,
505,1989-01-03,,   -11.4,    -3.8,   -15.6,    -9.9,
505,1989-01-04,,    -7.1,     1.1,   -12.7,    -7.0,
505,1989-01-05,,    -7.6,     2.7,    -8.2,    -3.3,
505,1989-01-06,,   -12.2,    -4.3,   -11.2,    -8.0,
505,1989-01-07,,   -22.2,    -5.1,   -20.3,   -12.7,
505,1989-01-08,,   -22.9,   -18.1,   -24.4,   -22.1,
505,1989-01-09,,   -17.6,   -17.8,   -23.7,   -21.8,
505,1989-01-10,,   -13.4,    -9.6,   -21.9,   -13.3,
505,1989-01-11,,    -9.2,     0.0,   -13.4,    -8.0,
505,1989-01-12,,   -26.4,    -8.5,   -23.8,   -15.4,
505,1989-01-13,,   -15.2,   -13.7,   -50.0,   -21.7,
505,1989-01-14,,   -14.5,    -1.5,   -15.7,   -11.9,
505,1989-01-15,,   -17.1,    -7.7,   -17.2,   -13.7,
505,1989-01-16,,   -18.0,   -12.7,   -20.0,   -17.7,
505,1989-01-17,,   -13.7,    -4.7,   -18.5,   -13.7,
505,1989-01-18,,   -13.7,    -4.2,   -14.7,   -10.2,
505,1989-01-19,,    -9.1,     0.3,   -13.8,    -8.2,
505,1989-01-20,,   -10.2,    -0.2,   -11.6,    -8.3,
505,1989-01-21,,   -10.9,     1.0,   -11.3,    -7.4,
505,1989-01-22,,   -10.9,     0.0,   -12.3,    -8.3,
505,1989-01-23,,    -9.9,     1.7,   -11.2,    -6.6,
505,1989-01-24,,   -12.0,     0.5,   -11.5,    -6.9,
505,1989-01-25,,   -11.6,    -2.0,   -12.1,    -8.2,
505,1989-01-26,,   -19.5,    -4.2,   -19.9,   -12.2,
505,1989-01-27,,    -8.9,     0.8,   -20.2,   -11.4,
505,1989-01-28,,   -11.6,     2.6,   -10.2,    -5.2,
505,1989-01-29,,   -18.2,    -8.2,   -15.7,   -12.2,
505,1989-01-30,,    -9.6,    -2.7,   -18.4,   -11.2,
505,1989-01-31,,    -6.2,     4.7,   -11.1,    -4.8,
505,1989-02-01,,    -7.3,     4.0,    -7.8,    -2.7,
505,1989-02-02,,    -6.6,     0.8,    -8.2,    -4.4,
505,1989-02-03,,    -8.5,    -4.0,    -9.2,    -7.0,
505,1989-02-04,,   -10.7,    -5.4,    -8.5,    -7.5,
505,1989-02-05,,   -16.9,    -6.3,   -13.4,   -10.1,
505,1989-02-06,,   -50.0,   -12.6,   -50.0,   -22.1,
505,1989-02-07,,-99.9,-99.9,-99.9,-99.9,
505,1989-02-08,,-99.9,-99.9,-99.9,-99.9,
505,1989-02-09,,-99.9,-99.9,-99.9,-99.9,
505,1989-02-10,,-99.9,-99.9,-99.9,-99.9,
505,1989-02-11,,-99.9,-99.9,-99.9,-99.9,
505,1989-02-12,,   -12.3,     1.2,   -11.2,    -7.0,
505,1989-02-13,,   -17.4,    -4.4,   -14.3,   -10.7,
505,1989-02-14,,   -18.6,    -7.3,   -18.9,   -14.4,
505,1989-02-15,,   -16.6,    -6.7,   -18.9,   -14.0,
505,1989-02-16,,-99.9,-99.9,-99.9,-99.9,
505,1989-02-17,,   -10.4,     2.1,   -16.1,    -8.6,
505,1989-02-18,,    -9.9,     3.2,   -12.8,    -7.0,
505,1989-02-19,,    -7.4,     1.9,   -10.7,    -5.9,
505,1989-02-20,,   -10.1,    -0.7,   -11.2,    -6.6,
505,1989-02-21,,   -13.8,    -4.8,   -13.0,    -9.8,
505,1989-02-22,,   -15.3,    -8.3,   -15.8,   -12.6,
505,1989-02-23,,    -7.7,    -0.3,   -15.9,    -9.3,
505,1989-02-24,,    -7.6,     2.9,    -9.2,    -4.6,
505,1989-02-25,,-99.9,-99.9,-99.9,-99.9,
505,1989-02-26,,    -3.2,     9.5,    -4.4,    -0.2,
505,1989-02-27,,-99.9,-99.9,-99.9,-99.9,
505,1989-02-28,,-99.9,-99.9,-99.9,-99.9,
505,1989-03-01,,-99.9,-99.9,-99.9,-99.9,
505,1989-03-02,,    -7.1,     1.3,   -12.1,    -7.5,
505,1989-03-03,,-99.9,-99.9,-99.9,-99.9,
505,1989-03-04,,-99.9,-99.9,-99.9,-99.9,
505,1989-03-05,,-99.9,-99.9,-99.9,-99.9,
505,1989-03-06,,     0.3,     1.2,   -13.9,    -8.3,
505,1989-03-07,,    -7.7,     1.2,   -13.9,    -8.3,
505,1989-03-08,,    -2.9,     6.9,    -1.9,     1.4,
505,1989-03-09,,    -1.9,     7.6,    -2.9,     1.0,
505,1989-03-10,,     9.1,    13.3,    -2.1,     2.8,
505,1989-03-11,,-99.9,-99.9,-99.9,-99.9,
505,1989-03-12,,    -2.6,    12.2,    -2.2,     2.9,
505,1989-03-13,,    -4.4,     6.5,    -4.1,     0.0,
505,1989-03-14,,    -9.9,     8.4,   -10.8,    -2.1,
505,1989-03-15,,   -10.3,    -8.6,   -14.2,   -12.1,
505,1989-03-16,,    -0.2,     2.3,   -14.1,    -9.0,
505,1989-03-17,,    -3.2,     6.4,    -8.5,    -1.8,
505,1989-03-18,,    -7.1,    -2.1,   -10.9,    -6.3,
505,1989-03-19,,-99.9,-99.9,-99.9,-99.9,
505,1989-03-20,,   -14.8,     0.9,   -11.1,    -4.1,
505,1989-03-21,,-99.9,-99.9,-99.9,-99.9,
505,1989-03-22,,    -6.2,     5.4,   -16.0,    -6.8,
505,1989-03-23,,    -5.2,     6.6,    -8.6,    -2.8,
505,1989-03-24,,-99.9,-99.9,-99.9,-99.9,
505,1989-03-25,,    -6.1,     7.6,    -5.5,    -0.4,
505,1989-03-26,,    -4.6,    10.1,    -6.2,    -0.2,
505,1989-03-27,,    -5.6,     6.9,    -6.3,    -0.9,
505,1989-03-28,,    -8.8,     6.5,    -7.7,    -2.8,
505,1989-03-29,,    -3.7,     8.3,    -9.0,    -1.4,
505,1989-03-30,,   -10.3,     2.0,   -11.2,    -4.9,
505,1989-03-31,,-99.9,-99.9,-99.9,-99.9,
505,1989-04-01,,-99.9,-99.9,-99.9,-99.9,
505,1989-04-02,,    -6.3,     0.6,    -9.3,    -4.9,
505,1989-04-03,,    -9.5,    -2.8,    -8.6,    -5.3,
505,1989-04-04,,   -13.8,    -2.8,    -8.6,    -5.3,
505,1989-04-05,,    -9.6,    -6.7,   -14.0,   -10.3,
505,1989-04-06,,    -4.7,     3.7,   -10.0,    -4.2,
505,1989-04-07,,    -2.4,     8.9,    -5.7,     0.0,
505,1989-04-08,,    -1.8,     8.4,    -2.7,     2.2,
505,1989-04-09,,    -3.8,     5.7,    -3.7,     0.1,
505,1989-04-10,,   -19.1,     1.3,   -13.9,    -6.1,
505,1989-04-11,,    -3.9,     6.5,   -19.7,    -7.4,
505,1989-04-12,,   -11.6,     3.7,    -9.5,    -4.9,
505,1989-04-13,,   -10.4,     4.7,   -12.4,    -5.4,
505,1989-04-14,,     2.7,     8.1,   -10.6,    -2.8,
505,1989-04-15,,    12.5,     9.8,    -5.6,     0.1,
505,1989-04-16,,    -2.1,    12.5,    -3.8,     2.3,
505,1989-04-17,,     6.8,     7.2,    -2.7,     1.1,
505,1989-04-18,,     9.0,    11.8,    -2.7,     2.4,
505,1989-04-19,,    -2.1,     9.7,    -3.0,     2.3,
505,1989-04-20,,     1.8,    14.4,    -2.3,     4.0,
505,1989-04-21,,     1.0,    16.7,     1.0,     6.7,
505,1989-04-22,,     2.0,    15.9,     0.5,     6.8,
505,1989-04-23,,    -0.4,    14.1,     1.1,     6.1,
505,1989-04-24,,    -1.0,    15.9,    -0.8,     5.7,
505,1989-04-25,,     0.1,    14.6,    -1.1,     5.1,
505,1989-04-26,,    -1.0,    12.7,    -1.9,     4.4,
505,1989-04-27,,    -5.5,    10.4,    -5.1,     2.6,
505,1989-04-28,,   -10.4,    -1.1,   -10.2,    -6.1,
505,1989-04-29,,    -8.6,     2.4,   -11.8,    -5.7,
505,1989-04-30,,-99.9,-99.9,-99.9,-99.9,
505,1989-05-01,,-99.9,-99.9,-99.9,-99.9,
505,1989-05-02,,    -2.6,     8.5,   -10.1,    -0.8,
505,1989-05-03,,    -1.9,     9.9,    -3.0,     0.0,
505,1989-05-04,,    -4.9,     2.5,    -5.0,    -1.8,
505,1989-05-05,,    -5.5,     2.0,    -5.0,    -2.3,
505,1989-05-06,,    -2.5,    11.3,    -5.5,     1.1,
505,1989-05-07,,     0.5,    15.1,    -2.6,     4.4,
505,1989-05-08,,-99.9,-99.9,-99.9,-99.9,
505,1989-05-09,,    -0.2,    15.4,     0.0,     5.4,
505,1989-05-10,,     0.1,    16.5,    -0.8,     5.5,
505,1989-05-11,,     1.3,    14.3,    -0.2,     3.6,
505,1989-05-12,,-99.9,-99.9,-99.9,-99.9,
505,1989-05-13,,    -6.3,    10.2,    -4.8,     1.3,
505,1989-05-14,,    -3.1,     8.1,    -6.3,    -1.3,
505,1989-05-15,,    -7.0,     7.4,    -6.6,    -2.0,
505,1989-05-16,,    -3.7,    10.1,    -7.2,    -0.1,
505,1989-05-17,,    -3.6,    10.2,    -4.2,     0.0,
