

Colorado (PST) SNOTEL Site Grizzly Peak - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Mar 23 11:54:54 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,
505,2023-01-01,,    -4.1,    -2.7,    -7.3,    -4.0,
505,2023-01-02,,    -3.6,    -0.6,    -4.1,    -2.8,
505,2023-01-03,,   -10.4,    -3.0,   -11.2,    -6.8,
505,2023-01-04,,   -12.5,    -7.3,   -12.6,   -10.3,
505,2023-01-05,,   -15.3,    -8.9,   -16.2,   -13.3,
505,2023-01-06,,    -7.7,     1.3,   -15.7,    -7.5,
505,2023-01-07,,    -8.2,    -3.4,    -8.8,    -6.8,
505,2023-01-08,,   -10.4,    -4.3,   -11.8,    -8.2,
505,2023-01-09,,    -8.5,     0.4,   -10.7,    -5.8,
505,2023-01-10,,    -4.1,    -1.2,    -8.7,    -5.0,
505,2023-01-11,,    -5.3,    -1.8,    -6.1,    -3.6,
505,2023-01-12,,   -10.4,    -5.3,   -10.4,    -7.9,
505,2023-01-13,,    -8.6,    -1.8,   -13.3,    -9.4,
505,2023-01-14,,    -3.8,     2.4,    -8.8,    -3.2,
505,2023-01-15,,    -4.8,     2.3,    -4.8,    -2.1,
505,2023-01-16,,    -8.5,    -1.3,    -8.5,    -5.5,
505,2023-01-17,,    -9.3,    -4.5,   -10.6,    -8.2,
505,2023-01-18,,    -9.9,    -3.2,   -10.5,    -7.4,
505,2023-01-19,,   -16.0,    -9.5,   -16.0,   -11.4,
505,2023-01-20,,    -9.6,    -5.7,   -18.0,   -12.0,
505,2023-01-21,,   -14.3,    -5.7,   -15.7,   -10.8,
505,2023-01-22,,   -14.6,   -10.9,   -17.1,   -14.1,
505,2023-01-23,,    -9.8,    -3.9,   -16.8,   -10.3,
505,2023-01-24,,   -12.4,    -4.1,   -12.5,    -9.5,
505,2023-01-25,,   -16.0,    -8.2,   -16.4,   -12.9,
505,2023-01-26,,   -18.2,   -12.6,   -18.2,   -16.1,
505,2023-01-27,,   -13.0,   -11.0,   -19.0,   -14.7,
505,2023-01-28,,    -9.6,    -4.3,   -13.1,    -9.3,
505,2023-01-29,,   -12.4,    -6.6,   -13.2,   -10.2,
505,2023-01-30,,    -9.6,    -6.0,   -12.8,    -9.6,
505,2023-01-31,,   -18.1,    -7.0,   -18.2,   -11.0,
505,2023-02-01,,   -16.6,    -6.9,   -21.1,   -15.8,
505,2023-02-02,,   -10.9,    -3.9,   -17.4,   -11.5,
505,2023-02-03,,   -11.5,    -1.8,   -12.8,    -9.1,
505,2023-02-04,,    -8.5,     0.7,   -12.1,    -6.4,
505,2023-02-05,,    -7.5,    -1.0,    -9.2,    -5.9,
505,2023-02-06,,    -6.3,     2.8,    -7.5,    -3.4,
505,2023-02-07,,   -16.2,    -6.3,   -16.4,   -11.2,
505,2023-02-08,,   -14.6,    -3.6,   -18.2,   -11.9,
505,2023-02-09,,   -17.9,    -5.7,   -18.0,   -10.4,
505,2023-02-10,,   -20.2,   -11.4,   -20.5,   -15.7,
505,2023-02-11,,    -7.1,     0.1,   -20.7,    -9.1,
505,2023-02-12,,    -5.6,     5.6,    -7.1,    -1.8,
505,2023-02-13,,    -8.1,    -0.2,    -8.6,    -5.2,
505,2023-02-14,,    -7.5,     3.1,    -8.9,    -4.5,
505,2023-02-15,,   -14.9,    -5.7,   -15.0,    -9.2,
505,2023-02-16,,   -19.2,   -11.5,   -20.2,   -15.7,
505,2023-02-17,,   -16.5,   -11.2,   -23.4,   -17.4,
505,2023-02-18,,    -8.0,     0.6,   -17.2,    -7.9,
505,2023-02-19,,    -8.5,    -0.2,   -10.7,    -6.8,
505,2023-02-20,,    -6.9,    -5.8,   -10.4,    -8.4,
505,2023-02-21,,    -7.9,    -3.4,    -8.0,    -5.5,
505,2023-02-22,,    -4.4,     2.0,    -8.0,    -2.9,
505,2023-02-23,,   -17.0,    -4.2,   -17.0,    -8.6,
505,2023-02-24,,   -14.6,   -10.0,   -18.0,   -14.1,
505,2023-02-25,,   -11.0,    -7.9,   -15.0,   -10.8,
505,2023-02-26,,    -4.9,     1.3,   -11.0,    -4.5,
505,2023-02-27,,   -10.4,     0.9,   -10.4,    -5.1,
505,2023-02-28,,   -11.0,    -4.3,   -11.8,    -9.4,
505,2023-03-01,,   -17.1,    -7.3,   -17.7,   -11.7,
505,2023-03-02,,   -11.4,    -6.6,   -17.1,   -10.4,
505,2023-03-03,,   -13.6,    -4.6,   -14.0,   -10.1,
505,2023-03-04,,   -12.6,    -2.3,   -14.5,    -9.6,
505,2023-03-05,,    -6.5,    -2.5,   -15.3,    -7.7,
505,2023-03-06,,    -7.8,    -2.1,   -10.4,    -6.3,
505,2023-03-07,,    -5.5,     2.9,    -8.8,    -3.1,
505,2023-03-08,,    -7.4,     2.9,    -8.0,    -3.9,
505,2023-03-09,,    -7.2,     1.1,    -8.2,    -4.2,
505,2023-03-10,,    -6.6,    -1.1,   -11.5,    -6.9,
505,2023-03-11,,    -2.3,     0.2,    -7.3,    -2.9,
505,2023-03-12,,    -7.7,     0.4,    -9.4,    -4.9,
505,2023-03-13,,    -7.1,    -1.2,    -8.6,    -6.0,
505,2023-03-14,,    -7.4,     0.2,   -10.0,    -5.6,
505,2023-03-15,,    -3.2,     2.4,    -8.9,    -3.7,
505,2023-03-16,,    -5.6,     3.7,    -5.6,    -0.9,
505,2023-03-17,,   -15.1,    -4.8,   -15.2,    -9.6,
505,2023-03-18,,   -17.6,    -5.1,   -18.9,   -13.6,
505,2023-03-19,,   -15.1,    -5.7,   -19.3,   -13.3,
505,2023-03-20,,    -8.5,    -0.6,   -15.5,    -8.4,
505,2023-03-21,,    -6.0,    -0.5,    -9.8,    -5.3,
505,2023-03-22,,    -5.2,    -3.0,   -10.9,    -6.2,
505,2023-03-23,,    -9.9,     2.4,   -10.6,    -4.6,




