

Colorado (PST) SNOTEL Site Grizzly Peak - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Mar 23 11:53:07 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,
505,1991-01-01,,   -13.1,    -4.1,   -14.9,   -11.2,
505,1991-01-02,,   -11.7,    -2.8,   -14.0,    -8.9,
505,1991-01-03,,    -9.0,    -0.9,   -12.0,    -8.0,
505,1991-01-04,,    -7.0,    -0.3,    -9.9,    -6.0,
505,1991-01-05,,    -8.8,     0.0,    -8.3,    -5.1,
505,1991-01-06,,   -15.2,    -2.8,   -14.5,    -9.3,
505,1991-01-07,,   -13.5,    -4.0,   -15.5,   -11.2,
505,1991-01-08,,   -14.5,    -2.6,   -14.8,   -10.5,
505,1991-01-09,,   -13.0,    -7.7,   -15.7,   -12.5,
505,1991-01-10,,   -14.2,    -2.8,   -14.6,    -9.5,
505,1991-01-11,,   -13.9,    -7.9,   -15.0,   -12.3,
505,1991-01-12,,-99.9,-99.9,-99.9,-99.9,
505,1991-01-13,,    -7.5,    -5.3,   -13.7,    -9.2,
505,1991-01-14,,   -10.6,    -4.0,   -10.1,    -7.5,
505,1991-01-15,,   -12.4,    -8.6,   -14.0,   -11.6,
505,1991-01-16,,   -13.4,    -8.0,   -14.5,   -11.9,
505,1991-01-17,,   -15.3,    -7.4,   -15.8,   -13.2,
505,1991-01-18,,   -17.4,    -8.6,   -17.6,   -14.4,
505,1991-01-19,,   -12.0,    -1.5,   -19.2,   -11.1,
505,1991-01-20,,   -17.7,    -5.1,   -16.5,   -10.6,
505,1991-01-21,,   -19.3,   -10.2,   -21.9,   -17.8,
505,1991-01-22,,   -18.6,    -8.7,   -20.0,   -16.3,
505,1991-01-23,,   -18.0,    -9.0,   -19.9,   -15.1,
505,1991-01-24,,   -21.3,   -13.0,   -22.7,   -17.2,
505,1991-01-25,,   -17.7,    -9.9,   -22.7,   -15.5,
505,1991-01-26,,   -16.9,    -9.9,   -19.6,   -16.2,
505,1991-01-27,,   -15.0,    -5.4,   -17.5,   -12.9,
505,1991-01-28,,   -15.6,    -7.4,   -17.7,   -14.0,
505,1991-01-29,,   -13.4,    -5.1,   -17.7,   -12.1,
505,1991-01-30,,   -18.5,   -11.8,   -21.4,   -17.1,
505,1991-01-31,,   -14.9,    -4.5,   -21.0,   -13.8,
505,1991-02-01,,    -8.9,     0.9,   -15.4,    -8.4,
505,1991-02-02,,    -5.4,     4.0,    -9.8,    -4.3,
505,1991-02-03,,   -11.0,     6.3,    -9.9,    -3.8,
505,1991-02-04,,   -10.2,    -0.9,   -11.9,    -8.1,
505,1991-02-05,,   -11.6,    -1.0,   -15.0,    -9.0,
505,1991-02-06,,    -1.7,     3.3,   -12.2,    -5.5,
505,1991-02-07,,    -8.0,     1.3,    -8.7,    -4.9,
505,1991-02-08,,    -5.7,     4.9,    -8.6,    -3.8,
505,1991-02-09,,   -11.0,     3.1,    -8.6,    -2.7,
505,1991-02-10,,   -10.4,     1.9,   -11.7,    -7.0,
505,1991-02-11,,   -10.8,     0.7,   -11.1,    -6.8,
505,1991-02-12,,   -10.9,     3.8,   -11.4,    -6.2,
505,1991-02-13,,    -9.1,    -1.1,   -11.1,    -7.1,
505,1991-02-14,,   -11.3,    -7.1,   -11.4,    -9.1,
505,1991-02-15,,    -7.9,    -5.3,   -11.6,    -8.1,
505,1991-02-16,,    -7.8,     2.1,   -10.4,    -5.3,
505,1991-02-17,,    -6.4,    -1.8,    -8.5,    -5.4,
505,1991-02-18,,   -16.1,    -4.4,   -16.0,    -8.8,
505,1991-02-19,,   -17.2,    -8.6,   -16.8,   -14.0,
505,1991-02-20,,    -9.8,    -9.0,   -17.2,   -13.2,
505,1991-02-21,,    -9.1,     0.2,   -11.3,    -7.6,
505,1991-02-22,,   -10.3,     0.3,   -11.1,    -6.4,
505,1991-02-23,,-99.9,-99.9,-99.9,-99.9,
505,1991-02-24,,   -11.5,     0.0,   -11.7,    -6.1,
505,1991-02-25,,   -20.1,     0.0,   -11.7,    -6.1,
505,1991-02-26,,   -17.6,    -8.0,   -20.4,   -14.1,
505,1991-02-27,,   -15.6,    -3.6,   -19.4,   -11.7,
505,1991-02-28,,   -11.4,    -1.0,   -17.1,    -9.6,
505,1991-03-01,,    -9.0,     0.6,   -11.6,    -5.7,
505,1991-03-02,,    -8.1,     0.1,   -10.1,    -5.9,
505,1991-03-03,,-99.9,-99.9,-99.9,-99.9,
505,1991-03-04,,    -6.0,     0.6,   -10.1,    -6.2,
505,1991-03-05,,    -2.9,     1.1,    -6.5,    -2.8,
505,1991-03-06,,   -15.4,    -2.6,   -12.7,    -6.6,
505,1991-03-07,,   -18.9,    -8.8,   -16.9,   -14.0,
505,1991-03-08,,   -17.9,   -10.7,   -20.7,   -16.5,
505,1991-03-09,,   -19.4,    -7.6,   -19.6,   -14.5,
505,1991-03-10,,    -6.7,     1.8,   -20.4,    -9.0,
505,1991-03-11,,    -5.7,     0.4,    -7.9,    -4.1,
505,1991-03-12,,    -6.4,     1.4,   -10.9,    -5.6,
505,1991-03-13,,   -16.4,    -4.1,   -14.5,   -10.8,
505,1991-03-14,,   -10.8,    -1.6,   -16.8,    -9.5,
505,1991-03-15,,   -14.2,    -2.8,   -14.8,    -9.1,
505,1991-03-16,,   -13.7,    -1.0,   -15.2,    -9.7,
505,1991-03-17,,   -12.5,    -1.6,   -13.9,    -8.9,
505,1991-03-18,,   -10.4,    -1.1,   -14.2,    -8.5,
505,1991-03-19,,    -8.1,     4.1,   -11.7,    -4.3,
505,1991-03-20,,    -9.0,     5.1,    -8.7,    -3.0,
505,1991-03-21,,   -13.5,    -2.6,   -13.9,    -8.6,
505,1991-03-22,,   -12.3,    -0.5,   -14.1,    -8.7,
505,1991-03-23,,   -12.3,    -4.6,   -12.3,    -9.7,
505,1991-03-24,,-99.9,-99.9,-99.9,-99.9,
505,1991-03-25,,    -5.9,     5.1,   -10.5,    -3.1,
505,1991-03-26,,-99.9,-99.9,-99.9,-99.9,
505,1991-03-27,,   -12.9,     0.0,   -10.7,    -5.4,
505,1991-03-28,,   -16.1,    -3.5,   -14.6,   -10.6,
505,1991-03-29,,    -9.1,    -2.6,   -16.7,   -10.1,
505,1991-03-30,,   -18.1,    -5.7,   -17.2,   -10.5,
505,1991-03-31,,   -11.7,    -1.6,   -19.2,   -10.5,
505,1991-04-01,,    -7.1,     5.2,   -12.4,    -3.8,
505,1991-04-02,,    -4.4,     9.4,    -8.2,    -0.1,
505,1991-04-03,,    -6.2,     6.0,    -5.7,    -1.4,
505,1991-04-04,,     0.0,     3.3,    -8.4,    -3.5,
505,1991-04-05,,    -4.0,     8.1,    -9.3,    -1.2,
505,1991-04-06,,-99.9,-99.9,-99.9,-99.9,
505,1991-04-07,,    -1.5,    11.7,    -4.3,     2.6,
505,1991-04-08,,    -8.7,     9.1,    -5.1,     0.8,
505,1991-04-09,,   -14.5,     9.1,    -5.1,     0.8,
505,1991-04-10,,    -6.2,     0.2,   -16.8,    -7.3,
505,1991-04-11,,    -3.9,     1.8,   -10.3,    -5.0,
505,1991-04-12,,   -10.1,    -3.2,   -12.0,    -8.4,
505,1991-04-13,,   -13.6,    -6.2,   -15.1,   -10.8,
505,1991-04-14,,   -14.6,    -3.5,   -16.2,   -11.1,
505,1991-04-15,,    -9.4,    -2.3,   -16.2,    -9.4,
505,1991-04-16,,    -5.4,     5.7,    -9.9,    -2.5,
505,1991-04-17,,    -4.4,     9.3,    -5.7,     0.5,
505,1991-04-18,,    -5.4,     8.3,    -6.5,     0.2,
505,1991-04-19,,   -10.1,     6.0,   -10.1,    -3.3,
505,1991-04-20,,    -7.1,     3.2,   -10.8,    -4.1,
505,1991-04-21,,    -4.2,     6.6,    -7.5,    -0.8,
505,1991-04-22,,    -6.4,     2.1,    -7.2,    -3.6,
505,1991-04-23,,    -7.2,     2.0,    -7.6,    -4.0,
505,1991-04-24,,    -6.0,     3.1,    -8.5,    -3.8,
505,1991-04-25,,    -5.4,     5.7,    -6.2,    -2.2,
505,1991-04-26,,   -10.0,     6.5,    -7.3,    -0.8,
505,1991-04-27,,-99.9,-99.9,-99.9,-99.9,
505,1991-04-28,,-99.9,-99.9,-99.9,-99.9,
505,1991-04-29,,   -10.4,    -2.7,   -15.0,    -9.3,
505,1991-04-30,,   -11.3,    -0.4,   -10.8,    -6.0,
505,1991-05-01,,   -10.7,     0.0,   -12.7,    -8.3,
505,1991-05-02,,    -1.0,     7.7,   -11.7,    -1.5,
505,1991-05-03,,    -8.8,     9.6,    -7.6,     1.9,
505,1991-05-04,,    -8.0,     4.4,    -9.3,    -3.1,
505,1991-05-05,,    -9.1,     4.4,    -9.3,    -3.1,
505,1991-05-06,,    -6.1,     0.9,    -9.7,    -5.0,
505,1991-05-07,,    -3.6,     7.6,    -7.8,    -0.1,
505,1991-05-08,,    -3.7,     5.4,    -4.1,    -0.7,
505,1991-05-09,,     2.1,    15.0,    -3.9,     5.4,
505,1991-05-10,,     2.8,    14.5,     1.6,     7.1,
505,1991-05-11,,     3.0,    13.7,     0.6,     7.4,
505,1991-05-12,,     1.5,    12.8,     0.5,     6.4,
505,1991-05-13,,    -5.1,     4.4,    -7.1,    -1.4,
505,1991-05-14,,     9.9,    12.9,    -5.2,     3.6,
505,1991-05-15,,    -3.2,    13.0,    -1.8,     5.6,
505,1991-05-16,,    -3.7,     5.7,    -4.1,    -1.6,
505,1991-05-17,,    -4.6,     3.3,    -3.8,    -1.1,
505,1991-05-18,,-99.9,-99.9,-99.9,-99.9,
505,1991-05-19,,     3.8,    14.3,     0.3,     7.4,
505,1991-05-20,,     1.0,    15.1,     2.3,     7.0,
505,1991-05-21,,     0.3,    12.1,     0.0,     4.1,
505,1991-05-22,,    -0.7,    11.4,    -0.6,     3.4,
505,1991-05-23,,    -0.6,    11.9,    -1.4,     3.6,
505,1991-05-24,,    -1.5,     9.5,    -2.0,     2.6,
505,1991-05-25,,    -2.3,     7.6,    -1.9,     1.0,
505,1991-05-26,,     4.5,    11.2,    -2.3,     3.4,
505,1991-05-27,,-99.9,-99.9,-99.9,-99.9,
505,1991-05-28,,     0.1,    14.2,    -0.7,     6.5,
505,1991-05-29,,    -1.6,    13.3,    -0.9,     5.2,
505,1991-05-30,,     8.2,    13.0,    -2.1,     4.7,
505,1991-05-31,,    10.9,    14.5,    -1.2,     5.4,
505,1991-06-01,,     0.3,    11.4,     0.0,     5.2,
505,1991-06-02,,    -0.8,     9.8,    -1.4,     2.0,
505,1991-06-03,,    -1.7,     6.6,    -2.4,     0.5,
505,1991-06-04,,     0.1,     5.9,    -2.1,     0.6,
505,1991-06-05,,     1.1,    11.7,    -0.6,     4.6,
505,1991-06-06,,     0.8,    13.9,     1.1,     5.9,
505,1991-06-07,,     0.3,    12.1,    -0.4,     3.2,
505,1991-06-08,,     4.9,     9.1,     0.0,     3.4,
505,1991-06-09,,     2.7,    17.1,     0.1,     8.0,
505,1991-06-10,,     8.9,    16.7,     1.8,     8.1,
505,1991-06-11,,     1.3,    13.8,     1.2,     6.2,
505,1991-06-12,,     2.8,    16.4,     0.9,     8.0,
505,1991-06-13,,     1.1,    16.0,     1.5,     7.0,
505,1991-06-14,,     2.6,    15.8,     0.9,     5.6,
505,1991-06-15,,     0.1,    12.8,     0.4,     5.6,
505,1991-06-16,,     1.8,    14.4,    -0.2,     6.5,
505,1991-06-17,,     2.8,    14.3,     1.5,     7.0,
505,1991-06-18,,     4.1,    17.1,     2.6,     9.3,
505,1991-06-19,,     9.5,    17.8,     3.4,    10.1,
505,1991-06-20,,     4.1,    16.9,     4.7,    10.3,
505,1991-06-21,,     7.1,    17.8,     3.0,     9.4,
505,1991-06-22,,     2.5,    18.2,     1.2,     9.1,
505,1991-06-23,,-99.9,-99.9,-99.9,-99.9,
505,1991-06-24,,    16.4,    18.0,     2.4,     9.9,
505,1991-06-25,,     5.0,    21.9,     3.1,    11.5,
505,1991-06-26,,     6.1,    21.3,     4.9,    13.0,
505,1991-06-27,,     6.1,    17.4,     5.6,    11.9,
505,1991-06-28,,     4.6,    19.3,     5.1,    11.7,
505,1991-06-29,,     6.6,    20.3,     4.2,    11.6,
505,1991-06-30,,     4.4,    18.7,     5.9,    10.4,
505,1991-07-01,,     1.7,    16.3,     3.1,     8.8,
505,1991-07-02,,     3.1,    18.7,     1.1,     9.9,
505,1991-07-03,,     2.6,    19.2,     2.3,    10.2,
505,1991-07-04,,     3.3,    18.2,     1.6,     8.8,
505,1991-07-05,,     6.3,    18.9,     2.3,    10.4,
505,1991-07-06,,     7.9,    20.0,     6.0,    12.2,
505,1991-07-07,,     7.5,    23.0,     7.5,    12.3,
505,1991-07-08,,     5.8,    19.4,     4.9,    10.4,
505,1991-07-09,,     3.4,    13.0,     3.6,     7.7,
505,1991-07-10,,     3.5,    18.2,     3.1,     9.0,
505,1991-07-11,,     4.1,    15.0,     3.3,     7.5,
505,1991-07-12,,     3.7,    17.4,     3.0,     8.4,
505,1991-07-13,,     2.4,    17.2,     3.4,     7.9,
505,1991-07-14,,     2.1,    16.9,     2.2,     7.6,
505,1991-07-15,,     6.7,    22.7,     2.0,    11.2,
505,1991-07-16,,     5.5,    21.6,     5.7,    11.7,
505,1991-07-17,,    21.7,    19.0,     5.4,    10.0,
505,1991-07-18,,     4.7,    21.7,     5.0,    10.5,
505,1991-07-19,,     5.2,    17.9,     4.5,     9.9,
505,1991-07-20,,     5.6,    18.4,     4.6,     9.8,
505,1991-07-21,,     5.0,    17.7,     4.9,     9.2,
505,1991-07-22,,     4.7,    15.8,     4.4,     9.2,
505,1991-07-23,,     4.1,    14.1,     4.3,     7.6,
505,1991-07-24,,     2.8,    16.0,     2.8,     7.5,
505,1991-07-25,,     2.0,    12.6,     2.4,     5.2,
505,1991-07-26,,     6.2,    12.4,     1.4,     5.3,
505,1991-07-27,,     3.3,    13.0,     1.6,     5.8,
505,1991-07-28,,     4.7,    16.7,     2.8,     9.1,
505,1991-07-29,,     6.2,    19.2,     4.6,    11.6,
505,1991-07-30,,     6.4,    20.4,     5.6,    12.1,
505,1991-07-31,,     6.7,    19.0,     6.1,    11.2,
505,1991-08-01,,     8.6,    20.3,     5.6,    11.4,
505,1991-08-02,,     5.1,    19.1,     5.5,    10.9,
505,1991-08-03,,     6.4,    14.6,     4.7,     8.3,
505,1991-08-04,,     4.3,    12.4,     5.0,     7.5,
505,1991-08-05,,     4.1,    15.0,     3.8,     8.0,
505,1991-08-06,,     5.9,    16.3,     3.1,     8.9,
505,1991-08-07,,     2.2,    17.1,     3.1,     8.2,
505,1991-08-08,,     4.1,    14.0,     1.8,     7.1,
505,1991-08-09,,     3.3,    17.1,     3.6,     8.1,
505,1991-08-10,,     4.1,    18.7,     2.8,     8.4,
505,1991-08-11,,     5.3,    17.3,     3.7,     9.5,
505,1991-08-12,,     4.2,    17.4,     4.4,     8.8,
505,1991-08-13,,     3.9,    13.8,     4.2,     7.2,
505,1991-08-14,,     4.0,    16.9,     3.7,     8.2,
505,1991-08-15,,     6.9,    19.0,     3.5,    10.4,
505,1991-08-16,,     4.1,    17.9,     4.0,     9.4,
505,1991-08-17,,     4.4,    16.9,     3.0,     8.0,
505,1991-08-18,,     5.1,    16.7,     3.9,     9.1,
505,1991-08-19,,-99.9,-99.9,-99.9,-99.9,
505,1991-08-20,,     3.9,     8.9,     3.4,     6.0,
505,1991-08-21,,     3.1,    12.7,     3.9,     6.3,
505,1991-08-22,,    18.0,    16.9,     3.1,     9.2,
