

Colorado (PST) SNOTEL Site Grizzly Peak - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Mar 23 11:52:54 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,
505,1984-01-01,,   -17.2,    -2.0,   -13.4,    -6.6,
505,1984-01-02,,   -18.7,    -8.8,   -18.5,   -14.8,
505,1984-01-03,,   -11.2,    -3.7,   -19.0,   -13.3,
505,1984-01-04,,    -9.3,    -0.1,   -12.3,    -5.7,
505,1984-01-05,,    -6.4,     0.6,    -9.4,    -5.2,
505,1984-01-06,,    -6.7,     3.2,    -7.3,    -4.0,
505,1984-01-07,,    -7.3,     1.3,    -8.9,    -5.1,
505,1984-01-08,,    -7.6,     4.3,    -9.3,    -4.6,
505,1984-01-09,,    -9.5,     0.7,   -11.6,    -6.1,
505,1984-01-10,,   -15.6,    -6.9,   -17.2,   -11.3,
505,1984-01-11,,   -11.4,    -1.3,   -17.3,   -10.5,
505,1984-01-12,,   -16.0,    -5.2,   -14.5,   -10.8,
505,1984-01-13,,   -18.6,   -11.2,   -18.9,   -15.6,
505,1984-01-14,,   -15.7,    -7.6,   -18.7,   -13.9,
505,1984-01-15,,   -17.4,    -7.2,   -16.6,   -12.6,
505,1984-01-16,,   -16.2,   -14.4,   -24.1,   -18.6,
505,1984-01-17,,   -20.1,   -11.0,   -24.8,   -20.0,
505,1984-01-18,,   -30.9,   -16.4,   -28.0,   -21.3,
505,1984-01-19,,   -22.9,   -18.9,   -50.0,   -28.4,
505,1984-01-20,,   -25.7,   -11.4,   -50.0,   -19.6,
505,1984-01-21,,   -16.0,   -10.5,   -26.0,   -20.0,
505,1984-01-22,,-99.9,-99.9,-99.9,-99.9,
505,1984-01-23,,   -13.9,    -6.9,   -17.7,   -13.1,
505,1984-01-24,,   -14.6,    -9.8,   -18.0,   -14.0,
505,1984-01-25,,    -9.0,    -6.1,   -15.5,   -10.9,
505,1984-01-26,,   -10.6,    -0.1,   -13.3,    -6.8,
505,1984-01-27,,   -17.4,    -5.1,   -17.0,   -11.2,
505,1984-01-28,,    -9.7,    -5.5,   -17.4,   -11.3,
505,1984-01-29,,   -11.3,    -2.0,   -11.2,    -7.9,
505,1984-01-30,,   -12.6,    -1.4,   -13.6,    -8.9,
505,1984-01-31,,    -8.6,     2.6,   -10.3,    -5.2,
505,1984-02-01,,    -8.2,     2.6,   -10.3,    -5.2,
505,1984-02-02,,   -15.0,     4.7,   -11.1,    -5.0,
505,1984-02-03,,   -14.2,    -5.1,   -18.1,   -11.6,
505,1984-02-04,,   -11.3,    -2.4,   -14.8,    -9.1,
505,1984-02-05,,   -13.6,    -3.1,   -13.1,    -8.6,
505,1984-02-06,,   -10.4,     0.1,   -13.6,    -8.6,
505,1984-02-07,,   -12.9,     4.2,   -11.5,    -6.1,
505,1984-02-08,,   -15.4,    -2.5,   -13.2,    -9.2,
505,1984-02-09,,   -16.2,    -4.1,   -15.7,   -11.7,
505,1984-02-10,,   -11.2,    -2.1,   -16.8,   -11.2,
505,1984-02-11,,   -14.7,     2.1,   -12.4,    -7.0,
505,1984-02-12,,   -17.3,   -10.2,   -19.9,   -13.7,
505,1984-02-13,,    -9.4,    -9.2,   -20.7,   -14.0,
505,1984-02-14,,    -6.6,    -1.5,   -11.1,    -6.5,
505,1984-02-15,,   -13.0,     0.8,   -11.6,    -6.0,
505,1984-02-16,,   -15.8,    -4.0,   -16.8,   -11.9,
