

Colorado (PST) SNOTEL Site Grizzly Peak - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Mar 23 11:54:23 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,
505,2009-01-01,,    -5.9,     0.7,    -7.5,    -4.3,
505,2009-01-02,,    -5.0,    -2.7,    -6.4,    -4.6,
505,2009-01-03,,    -3.7,     4.6,    -6.0,    -2.2,
505,2009-01-04,,   -19.2,    -3.8,   -19.3,    -9.7,
505,2009-01-05,,   -15.7,    -7.2,   -19.1,   -14.8,
505,2009-01-06,,   -12.8,    -5.9,   -17.8,   -12.8,
505,2009-01-07,,   -10.2,   -10.2,   -13.1,   -11.8,
505,2009-01-08,,    -4.9,    -3.2,   -10.2,    -6.1,
505,2009-01-09,,    -5.0,     1.6,    -7.2,    -4.0,
505,2009-01-10,,   -16.4,    -2.7,   -16.8,    -9.1,
505,2009-01-11,,   -10.7,    -8.6,   -17.1,   -11.9,
505,2009-01-12,,    -8.3,    -6.8,   -10.9,    -8.9,
505,2009-01-13,,    -8.8,    -7.9,   -11.6,    -9.1,
505,2009-01-14,,    -7.1,    -5.1,    -8.8,    -7.5,
505,2009-01-15,,    -6.1,    -2.5,    -8.0,    -6.4,
505,2009-01-16,,    -8.3,    -3.2,    -9.3,    -6.7,
505,2009-01-17,,    -7.2,     1.6,    -9.6,    -5.2,
505,2009-01-18,,    -9.3,     2.7,    -9.6,    -5.5,
505,2009-01-19,,    -2.7,     2.2,   -10.6,    -4.4,
505,2009-01-20,,    -6.6,     4.3,    -6.6,    -0.6,
505,2009-01-21,,    -4.0,     6.2,    -8.1,    -2.8,
505,2009-01-22,,    -3.4,     5.6,    -4.6,    -1.2,
505,2009-01-23,,    -0.7,     3.4,    -4.4,    -0.6,
505,2009-01-24,,    -4.9,     0.7,    -4.9,    -1.8,
505,2009-01-25,,    -3.8,    -0.1,    -6.0,    -3.0,
505,2009-01-26,,    -6.6,    -1.1,    -7.0,    -4.9,
505,2009-01-27,,   -11.7,    -4.4,   -11.9,    -8.3,
505,2009-01-28,,   -16.3,   -11.7,   -22.5,   -16.5,
505,2009-01-29,,   -15.4,   -10.4,   -16.5,   -13.2,
505,2009-01-30,,   -11.0,    -8.3,   -16.3,   -13.0,
505,2009-01-31,,    -9.0,    -0.7,   -13.2,    -8.0,
505,2009-02-01,,    -9.8,     0.8,   -10.5,    -6.9,
505,2009-02-02,,    -9.9,    -5.2,   -11.7,    -9.6,
505,2009-02-03,,    -5.7,    -2.6,   -10.8,    -6.8,
505,2009-02-04,,    -8.5,    -0.4,    -8.5,    -5.5,
505,2009-02-05,,    -5.2,     5.1,    -8.9,    -3.4,
505,2009-02-06,,    -1.9,     5.1,    -6.1,    -1.8,
505,2009-02-07,,    -7.4,    -0.5,    -7.8,    -4.0,
505,2009-02-08,,    -4.2,     4.5,    -7.9,    -2.9,
505,2009-02-09,,    -7.0,     1.3,    -7.0,    -2.1,
505,2009-02-10,,   -11.3,    -4.7,   -11.8,    -8.7,
505,2009-02-11,,   -14.9,    -3.2,   -15.0,   -10.2,
505,2009-02-12,,   -12.5,    -7.5,   -15.2,   -11.2,
505,2009-02-13,,   -11.4,    -2.4,   -14.7,    -8.9,
505,2009-02-14,,   -11.4,    -6.6,   -15.4,   -10.7,
505,2009-02-15,,   -12.8,    -6.3,   -13.5,   -11.2,
505,2009-02-16,,    -9.9,    -3.0,   -17.0,    -9.8,
505,2009-02-17,,    -6.8,     1.5,   -10.5,    -5.1,
505,2009-02-18,,   -10.4,    -4.8,   -10.4,    -8.2,
505,2009-02-19,,   -11.6,    -6.0,   -11.6,    -9.9,
505,2009-02-20,,   -14.7,    -5.7,   -14.8,   -11.4,
505,2009-02-21,,   -10.7,    -1.2,   -14.8,    -8.5,
505,2009-02-22,,    -5.1,     1.0,   -14.5,    -6.8,
505,2009-02-23,,    -4.1,     5.2,    -6.2,    -1.5,
505,2009-02-24,,    -2.0,     1.4,    -4.1,    -0.9,
505,2009-02-25,,    -4.6,     3.7,    -4.8,    -1.9,
505,2009-02-26,,    -3.5,     5.3,    -6.0,    -1.0,
505,2009-02-27,,    -5.9,    -1.4,    -6.2,    -4.7,
505,2009-02-28,,   -17.7,    -5.2,   -18.2,   -10.8,
505,2009-03-01,,    -8.0,    -0.9,   -18.0,    -9.6,
505,2009-03-02,,    -0.5,     7.2,    -8.3,    -0.9,
505,2009-03-03,,     0.5,     9.1,    -0.7,     3.1,
505,2009-03-04,,    -1.2,     7.0,    -2.0,     1.4,
505,2009-03-05,,    -2.0,     6.0,    -3.1,     0.9,
505,2009-03-06,,    -3.3,     1.6,    -7.0,    -3.1,
505,2009-03-07,,    -6.3,     1.1,    -6.4,    -2.9,
505,2009-03-08,,   -11.7,    -3.2,   -13.0,    -7.5,
505,2009-03-09,,    -7.3,     2.5,   -13.8,    -6.0,
505,2009-03-10,,    -4.6,     3.7,    -7.5,    -2.3,
505,2009-03-11,,   -12.2,    -4.6,   -14.7,   -11.7,
505,2009-03-12,,    -6.0,     2.6,   -12.5,    -5.4,
505,2009-03-13,,    -8.9,     2.0,    -8.9,    -4.8,
505,2009-03-14,,   -10.8,     0.0,   -13.8,    -7.5,
505,2009-03-15,,    -8.7,     2.9,   -11.7,    -5.4,
505,2009-03-16,,    -5.8,     2.8,    -9.9,    -4.0,
505,2009-03-17,,    -1.8,     6.6,    -6.7,    -0.7,
505,2009-03-18,,    -1.6,     7.0,    -3.1,     0.9,
505,2009-03-19,,    -2.8,     4.6,    -4.1,     0.1,
505,2009-03-20,,    -1.3,     8.0,    -4.6,     0.8,
505,2009-03-21,,    -0.9,     8.5,    -2.6,     1.5,
505,2009-03-22,,     1.0,     9.2,    -1.6,     3.1,
505,2009-03-23,,    -4.7,     8.7,    -4.7,     2.4,
505,2009-03-24,,   -10.1,    -3.1,   -10.2,    -6.3,
505,2009-03-25,,    -9.2,    -3.6,   -11.0,    -8.1,
505,2009-03-26,,    -9.8,    -3.8,   -11.1,    -8.7,
505,2009-03-27,,   -16.6,    -7.2,   -16.9,   -12.2,
505,2009-03-28,,   -13.1,    -1.3,   -16.9,   -10.5,
505,2009-03-29,,    -7.7,    -0.7,   -14.4,    -7.4,
505,2009-03-30,,   -10.4,     4.6,   -10.4,    -3.1,
505,2009-03-31,,   -14.9,    -9.0,   -15.7,   -13.5,
505,2009-04-01,,    -9.3,    -7.4,   -15.1,   -10.9,
505,2009-04-02,,   -13.1,    -4.9,   -13.1,    -9.6,
505,2009-04-03,,    -4.6,     0.5,   -15.4,    -7.8,
505,2009-04-04,,    -4.9,     2.9,    -5.2,    -2.7,
505,2009-04-05,,   -15.6,    -4.1,   -15.6,    -8.0,
505,2009-04-06,,   -15.2,    -5.4,   -18.1,   -12.3,
505,2009-04-07,,    -8.2,     2.2,   -17.0,    -7.3,
505,2009-04-08,,    -3.9,     5.8,    -8.9,    -1.9,
505,2009-04-09,,    -6.4,     8.8,    -6.4,     1.1,
505,2009-04-10,,    -4.7,     0.1,    -8.8,    -4.6,
505,2009-04-11,,    -2.0,     5.2,    -7.0,    -1.1,
505,2009-04-12,,    -3.8,     4.4,    -4.1,    -0.4,
505,2009-04-13,,    -6.7,     2.3,    -7.2,    -2.3,
505,2009-04-14,,    -3.3,     5.1,    -6.7,    -1.3,
505,2009-04-15,,     0.4,     7.0,    -3.5,     1.2,
505,2009-04-16,,    -1.4,     8.2,    -1.6,     2.2,
505,2009-04-17,,    -4.0,     3.5,    -5.6,    -2.3,
505,2009-04-18,,    -7.5,    -2.6,    -7.5,    -4.4,
505,2009-04-19,,    -5.3,     1.5,    -7.5,    -3.2,
505,2009-04-20,,    -1.6,     4.3,    -9.6,    -2.0,
505,2009-04-21,,     0.0,     5.5,    -4.1,     0.9,
505,2009-04-22,,     1.1,    10.0,    -2.3,     2.8,
505,2009-04-23,,     0.2,    11.1,    -1.0,     3.3,
505,2009-04-24,,     1.2,    12.3,    -0.2,     4.5,
505,2009-04-25,,     2.7,    10.9,     0.8,     4.8,
505,2009-04-26,,    -4.2,     9.7,    -4.2,     3.0,
505,2009-04-27,,    -5.8,     1.5,    -7.3,    -3.2,
505,2009-04-28,,    -2.4,     3.5,    -8.7,    -1.7,
505,2009-04-29,,    -0.3,     9.3,    -2.8,     3.0,
505,2009-04-30,,    -1.3,    10.2,    -1.3,     3.4,
505,2009-05-01,,     0.5,    10.9,    -2.0,     4.1,
505,2009-05-02,,     0.5,     9.6,    -0.6,     2.7,
505,2009-05-03,,    -2.0,     6.6,    -2.0,     2.1,
505,2009-05-04,,    -1.1,     4.4,    -3.2,    -0.2,
505,2009-05-05,,    -0.3,     5.2,    -1.9,     0.5,
505,2009-05-06,,     0.2,     4.7,    -0.6,     1.5,
505,2009-05-07,,     3.4,    12.2,    -0.7,     5.6,
505,2009-05-08,,     0.0,    12.3,    -0.1,     6.1,
505,2009-05-09,,    -2.2,     8.2,    -2.3,     2.4,
505,2009-05-10,,     0.5,     8.4,    -3.2,     2.7,
505,2009-05-11,,     0.1,     5.9,    -0.3,     1.9,
505,2009-05-12,,     4.5,    11.8,    -0.9,     6.1,
505,2009-05-13,,     5.5,    12.1,     0.8,     6.6,
505,2009-05-14,,     0.8,     8.5,     0.8,     4.5,
505,2009-05-15,,     2.4,     9.2,     0.8,     5.3,
505,2009-05-16,,     1.7,    10.0,    -0.4,     4.2,
505,2009-05-17,,     1.6,    10.0,     0.6,     4.5,
505,2009-05-18,,     4.5,    11.8,     0.9,     6.4,
505,2009-05-19,,     6.2,    15.0,     3.3,     9.0,
505,2009-05-20,,     3.3,    14.9,     2.9,     7.9,
505,2009-05-21,,     3.5,    12.6,     2.9,     7.0,
505,2009-05-22,,     2.4,    10.5,     1.5,     3.9,
505,2009-05-23,,     3.2,    10.5,     2.3,     4.7,
505,2009-05-24,,     3.4,    10.0,     2.0,     5.1,
505,2009-05-25,,     1.2,     9.5,     1.2,     4.1,
505,2009-05-26,,     1.5,     6.6,     0.8,     3.0,
505,2009-05-27,,     1.3,     5.9,     1.1,     2.4,
505,2009-05-28,,     0.1,     9.0,    -0.8,     3.0,
505,2009-05-29,,     1.5,    11.0,    -0.1,     4.0,
505,2009-05-30,,     1.2,    12.4,     1.2,     5.2,
505,2009-05-31,,     1.9,    11.9,     0.8,     4.9,
505,2009-06-01,,     1.8,    11.7,     1.5,     4.7,
505,2009-06-02,,     2.5,     6.3,     1.8,     3.3,
505,2009-06-03,,     1.6,     5.5,     1.5,     2.7,
505,2009-06-04,,     1.4,    10.9,     1.3,     4.6,
505,2009-06-05,,     4.5,    12.3,     0.8,     5.9,
505,2009-06-06,,     2.1,    12.9,     2.1,     7.1,
505,2009-06-07,,     1.7,    11.7,     0.9,     5.7,
505,2009-06-08,,     1.5,     8.0,     0.0,     3.0,
505,2009-06-09,,     2.8,    11.0,     0.0,     4.9,
505,2009-06-10,,     1.3,     9.5,     1.3,     4.9,
505,2009-06-11,,     1.5,     9.8,     1.1,     4.0,
505,2009-06-12,,     0.7,     5.7,     0.7,     2.6,
505,2009-06-13,,     4.8,     9.6,     0.5,     4.9,
505,2009-06-14,,     3.4,    15.5,     2.9,     7.6,
505,2009-06-15,,     1.6,    11.4,     1.4,     5.4,
505,2009-06-16,,     1.6,     9.0,     1.3,     4.3,
505,2009-06-17,,     4.8,    12.6,     1.2,     6.3,
505,2009-06-18,,     3.5,    14.5,     3.2,     8.7,
505,2009-06-19,,     2.8,    14.1,     2.7,     7.4,
505,2009-06-20,,     7.7,    14.6,     1.8,     7.9,
505,2009-06-21,,     3.4,    11.6,     3.4,     6.9,
505,2009-06-22,,     6.1,    14.0,     3.3,     7.6,
505,2009-06-23,,     7.0,    18.3,     4.3,    11.1,
505,2009-06-24,,-99.9,-99.9,-99.9,-99.9,
505,2009-06-25,,     7.5,    19.3,     6.4,    11.4,
505,2009-06-26,,     6.8,    17.3,     6.2,    10.8,
505,2009-06-27,,     5.2,    14.8,     5.2,     8.4,
505,2009-06-28,,     5.9,    14.6,     3.4,     8.7,
505,2009-06-29,,     6.6,    16.9,     4.5,    10.3,
505,2009-06-30,,     7.6,    17.8,     5.2,    10.7,
505,2009-07-01,,     8.0,    19.1,     5.6,    11.7,
505,2009-07-02,,     7.0,    19.4,     5.8,    11.9,
505,2009-07-03,,     6.8,    19.3,     6.7,    10.5,
505,2009-07-04,,     5.9,    15.4,     5.9,     8.9,
505,2009-07-05,,     4.8,    15.9,     4.8,     8.5,
505,2009-07-06,,     4.8,    14.3,     4.4,     7.7,
505,2009-07-07,,     6.8,    16.4,     4.2,     9.6,
505,2009-07-08,,     8.7,    18.5,     6.0,    11.7,
505,2009-07-09,,     9.3,    18.9,     6.9,    12.7,
505,2009-07-10,,     9.6,    21.0,     7.7,    13.1,
505,2009-07-11,,     9.7,    20.1,     8.8,    13.7,
505,2009-07-12,,     6.7,    20.2,     6.2,    11.2,
505,2009-07-13,,     9.0,    17.9,     6.6,    11.4,
505,2009-07-14,,     7.7,    19.4,     7.3,    10.9,
505,2009-07-15,,     7.0,    18.3,     6.2,    11.7,
505,2009-07-16,,     8.7,    18.2,     6.5,    11.7,
505,2009-07-17,,     9.9,    17.9,     6.6,    11.9,
505,2009-07-18,,     9.2,    18.9,     7.4,    12.6,
505,2009-07-19,,     9.0,    19.3,     8.1,    12.9,
505,2009-07-20,,     7.2,    20.0,     6.8,    12.1,
