

Colorado (PST) SNOTEL Site Grizzly Peak - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Mar 23 11:54:05 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,
505,2001-01-01,,   -12.1,    -5.3,   -13.3,    -9.9,
505,2001-01-02,,   -15.0,    -3.2,   -15.5,    -9.8,
505,2001-01-03,,   -10.6,    -3.5,   -15.8,   -11.3,
505,2001-01-04,,    -7.7,     0.5,   -10.7,    -6.3,
505,2001-01-05,,    -5.3,     3.2,    -7.7,    -3.8,
505,2001-01-06,,    -5.0,     5.3,    -6.9,    -2.8,
505,2001-01-07,,    -8.1,     2.4,    -8.6,    -4.7,
505,2001-01-08,,   -11.8,    -3.2,   -15.4,   -10.9,
505,2001-01-09,,    -6.4,     3.6,   -11.7,    -6.2,
505,2001-01-10,,    -6.3,     2.2,    -7.9,    -3.8,
505,2001-01-11,,   -12.1,    -1.9,   -12.3,    -7.4,
505,2001-01-12,,    -7.0,     1.6,   -12.6,    -6.3,
505,2001-01-13,,    -5.6,     0.4,    -7.6,    -4.8,
505,2001-01-14,,   -14.7,    -5.9,   -14.9,   -10.5,
505,2001-01-15,,   -15.5,    -8.8,   -16.9,   -14.0,
505,2001-01-16,,   -14.5,    -7.5,   -19.1,   -14.2,
505,2001-01-17,,   -19.3,   -10.1,   -19.6,   -15.1,
505,2001-01-18,,   -19.3,    -6.4,   -19.6,   -15.6,
505,2001-01-19,,   -13.9,    -7.9,   -19.3,   -13.8,
505,2001-01-20,,   -12.2,    -4.3,   -15.6,   -11.9,
505,2001-01-21,,   -16.5,    -9.9,   -16.5,   -12.4,
505,2001-01-22,,    -9.3,    -3.6,   -17.7,   -10.4,
505,2001-01-23,,    -8.3,     3.8,    -9.6,    -4.9,
505,2001-01-24,,   -11.3,    -1.3,   -11.3,    -6.9,
505,2001-01-25,,    -5.4,     1.0,   -11.5,    -6.3,
505,2001-01-26,,   -12.1,    -2.6,   -12.1,    -8.3,
505,2001-01-27,,    -9.7,    -3.7,   -15.2,    -9.5,
505,2001-01-28,,   -11.4,    -2.0,   -12.7,    -7.6,
505,2001-01-29,,   -12.9,    -1.6,   -12.9,    -9.3,
505,2001-01-30,,   -16.2,    -9.0,   -16.4,   -12.7,
505,2001-01-31,,   -19.6,    -9.9,   -19.6,   -14.5,
505,2001-02-01,,   -16.1,   -10.3,   -22.8,   -16.4,
505,2001-02-02,,   -12.8,    -9.0,   -17.0,   -13.5,
505,2001-02-03,,    -7.7,    -2.4,   -13.4,    -7.6,
505,2001-02-04,,    -7.7,    -4.6,    -8.1,    -6.5,
505,2001-02-05,,    -8.8,     0.4,   -10.2,    -6.3,
505,2001-02-06,,    -7.1,     1.5,    -9.0,    -4.8,
505,2001-02-07,,    -3.5,     3.3,    -7.3,    -3.0,
505,2001-02-08,,    -5.0,     0.5,    -6.0,    -3.7,
505,2001-02-09,,   -14.3,    -3.1,   -14.3,    -7.0,
505,2001-02-10,,   -11.0,    -3.8,   -21.1,   -12.7,
505,2001-02-11,,   -11.2,     1.0,   -14.6,    -8.4,
505,2001-02-12,,   -13.7,    -5.1,   -14.0,    -9.2,
505,2001-02-13,,    -9.1,    -0.2,   -13.6,    -7.8,
505,2001-02-14,,    -7.4,     2.0,   -10.0,    -5.2,
505,2001-02-15,,   -11.8,    -3.6,   -11.8,    -8.5,
505,2001-02-16,,   -14.3,    -4.3,   -15.1,   -10.7,
505,2001-02-17,,   -10.6,     0.2,   -14.6,    -8.3,
505,2001-02-18,,    -8.1,     2.8,   -12.6,    -6.7,
505,2001-02-19,,    -5.8,    -0.7,    -8.3,    -4.8,
505,2001-02-20,,    -8.2,     0.2,    -8.5,    -5.1,
505,2001-02-21,,    -6.7,     3.5,    -9.1,    -4.0,
505,2001-02-22,,    -7.1,    -3.0,    -8.1,    -6.0,
505,2001-02-23,,    -4.7,     1.5,    -7.4,    -4.3,
505,2001-02-24,,    -9.5,     4.1,    -9.5,    -3.9,
505,2001-02-25,,   -12.6,    -5.0,   -13.0,   -10.0,
505,2001-02-26,,   -13.0,    -2.1,   -13.0,    -9.2,
505,2001-02-27,,    -7.6,    -1.0,   -13.3,    -6.9,
505,2001-02-28,,   -10.8,     0.3,   -11.1,    -6.7,
505,2001-03-01,,    -9.1,     1.2,   -11.0,    -6.2,
505,2001-03-02,,   -13.6,    -2.7,   -13.6,    -9.0,
505,2001-03-03,,   -12.0,    -0.4,   -14.1,    -9.3,
505,2001-03-04,,   -12.9,     0.2,   -14.0,    -9.2,
505,2001-03-05,,    -7.1,     3.8,   -13.2,    -6.0,
505,2001-03-06,,    -5.5,     7.7,    -7.4,    -2.5,
505,2001-03-07,,    -5.6,     2.9,    -5.8,    -2.2,
505,2001-03-08,,    -4.3,     5.0,    -6.2,    -2.1,
505,2001-03-09,,    -5.0,     5.1,    -9.0,    -3.3,
505,2001-03-10,,    -6.0,     3.0,    -6.0,    -2.1,
505,2001-03-11,,   -11.8,    -1.6,   -11.8,    -5.7,
505,2001-03-12,,    -9.8,    -3.7,   -12.1,    -7.7,
505,2001-03-13,,    -8.4,    -4.4,   -11.5,    -8.3,
505,2001-03-14,,   -10.3,    -0.3,   -10.5,    -6.0,
505,2001-03-15,,   -13.0,    -4.8,   -13.3,   -10.2,
505,2001-03-16,,   -14.3,    -5.1,   -14.9,   -11.5,
505,2001-03-17,,    -7.8,    -2.2,   -14.5,    -8.5,
505,2001-03-18,,    -9.7,     0.3,    -9.9,    -6.2,
505,2001-03-19,,    -9.2,    -3.3,   -11.5,    -7.9,
505,2001-03-20,,    -2.4,     3.8,   -13.0,    -4.3,
505,2001-03-21,,    -1.7,     7.7,    -5.1,     0.3,
505,2001-03-22,,    -2.1,     8.3,    -2.6,     0.3,
505,2001-03-23,,    -3.4,     8.4,    -3.5,    -0.5,
505,2001-03-24,,    -3.7,     7.5,    -5.0,    -1.3,
505,2001-03-25,,    -2.3,     4.1,    -5.7,    -0.8,
505,2001-03-26,,    -2.7,     6.8,    -2.7,    -0.1,
505,2001-03-27,,    -5.3,     6.2,    -5.4,    -1.7,
505,2001-03-28,,   -11.4,     0.8,   -11.4,    -5.6,
505,2001-03-29,,    -6.5,    -2.7,   -12.7,    -6.6,
505,2001-03-30,,    -7.0,     1.3,    -8.3,    -4.7,
505,2001-03-31,,    -6.7,     0.9,    -7.5,    -5.0,
505,2001-04-01,,    -3.2,     1.8,    -8.2,    -3.9,
505,2001-04-02,,    -0.5,     7.8,    -3.6,     0.6,
505,2001-04-03,,    -2.1,     7.8,    -3.4,     1.4,
505,2001-04-04,,    -1.3,     8.9,    -3.7,     2.3,
505,2001-04-05,,    -0.1,    11.0,    -2.7,     3.3,
505,2001-04-06,,    -1.5,     7.3,    -2.5,     1.6,
505,2001-04-07,,    -6.1,     5.4,    -6.1,    -1.9,
505,2001-04-08,,    -5.3,     6.5,    -7.6,    -2.2,
505,2001-04-09,,    -9.5,     5.3,    -9.5,    -3.5,
505,2001-04-10,,    -2.5,     6.8,   -10.1,    -1.6,
505,2001-04-11,,    -7.1,     4.9,    -7.2,    -3.0,
505,2001-04-12,,    -9.0,    -0.6,    -9.3,    -6.2,
505,2001-04-13,,    -9.6,     2.1,   -11.5,    -5.6,
505,2001-04-14,,    -7.8,     5.1,   -13.9,    -4.9,
505,2001-04-15,,    -5.7,     5.0,    -9.1,    -3.8,
505,2001-04-16,,    -3.0,     7.6,    -6.7,     0.0,
505,2001-04-17,,    -2.0,     8.1,    -4.2,     1.2,
505,2001-04-18,,     0.2,    11.0,    -2.5,     3.3,
505,2001-04-19,,     1.8,    13.6,    -0.4,     5.3,
505,2001-04-20,,     0.4,     9.2,    -0.3,     3.5,
505,2001-04-21,,    -6.1,     4.7,    -6.2,    -1.0,
505,2001-04-22,,    -1.6,     5.4,    -6.7,    -1.0,
505,2001-04-23,,    -7.3,    -0.8,    -7.7,    -5.1,
505,2001-04-24,,    -5.1,     2.8,    -7.8,    -4.1,
505,2001-04-25,,    -2.6,     9.0,    -6.3,     0.3,
505,2001-04-26,,    -0.8,    11.4,    -4.0,     2.3,
505,2001-04-27,,     0.7,    12.8,    -1.9,     4.1,
505,2001-04-28,,     1.3,    14.1,    -0.1,     5.3,
505,2001-04-29,,     0.0,    12.2,     0.0,     4.1,
505,2001-04-30,,     0.2,    12.1,    -0.3,     4.2,
505,2001-05-01,,     2.2,     9.1,    -1.2,     3.6,
505,2001-05-02,,     2.6,    14.2,     1.2,     6.3,
505,2001-05-03,,    -4.6,     4.1,    -5.4,    -0.2,
505,2001-05-04,,    -5.8,    -0.2,    -7.0,    -4.7,
505,2001-05-05,,    -3.5,     1.0,    -7.0,    -2.7,
505,2001-05-06,,    -2.9,     1.7,    -3.7,    -1.3,
505,2001-05-07,,    -4.1,     9.5,    -6.6,    -0.1,
505,2001-05-08,,    -1.1,     8.8,    -6.4,     0.7,
505,2001-05-09,,     1.0,    13.1,    -2.1,     4.4,
505,2001-05-10,,     2.2,    14.3,     0.2,     5.1,
505,2001-05-11,,     0.8,    11.1,     0.8,     4.7,
505,2001-05-12,,     1.7,    12.7,    -1.4,     4.7,
505,2001-05-13,,     3.8,    15.2,     0.6,     6.8,
505,2001-05-14,,     2.8,    15.5,     2.8,     7.3,
505,2001-05-15,,     2.7,    11.2,     1.6,     5.8,
505,2001-05-16,,     4.3,    12.9,     2.1,     6.9,
505,2001-05-17,,     3.0,    10.9,     2.8,     6.0,
505,2001-05-18,,     1.3,     5.9,     1.2,     2.7,
505,2001-05-19,,     1.7,    11.8,    -1.1,     4.6,
505,2001-05-20,,     1.3,     9.1,     0.9,     3.8,
505,2001-05-21,,    -8.8,    10.8,    -8.8,     2.0,
505,2001-05-22,,    -1.9,     1.0,   -12.3,    -4.3,
505,2001-05-23,,     2.1,     8.3,    -2.8,     3.0,
505,2001-05-24,,     2.6,    10.6,     0.0,     5.4,
505,2001-05-25,,     1.9,    11.2,     0.9,     5.7,
505,2001-05-26,,     1.9,    11.4,     1.7,     6.0,
505,2001-05-27,,     3.1,    14.3,     1.8,     6.2,
505,2001-05-28,,     3.4,    15.5,     1.5,     7.5,
505,2001-05-29,,     2.0,    13.4,     2.0,     5.8,
505,2001-05-30,,     3.5,    11.3,     0.8,     5.2,
505,2001-05-31,,     2.0,    11.8,     0.1,     5.7,
505,2001-06-01,,     3.2,    12.8,     0.3,     6.2,
505,2001-06-02,,     5.0,    14.7,     2.1,     8.2,
505,2001-06-03,,     6.5,    18.8,     4.0,    10.4,
505,2001-06-04,,     4.3,    14.8,     3.9,     8.3,
505,2001-06-05,,    -0.4,    12.3,    -0.4,     5.4,
505,2001-06-06,,     2.3,    14.4,    -0.7,     6.6,
505,2001-06-07,,     5.3,    18.1,     2.6,     9.9,
505,2001-06-08,,     6.0,    18.9,     4.7,    10.7,
505,2001-06-09,,     6.0,    18.9,     4.2,    11.1,
505,2001-06-10,,     6.7,    18.0,     5.6,    10.4,
505,2001-06-11,,     6.8,    19.9,     5.2,    11.7,
505,2001-06-12,,     6.7,    20.9,     6.2,    12.2,
505,2001-06-13,,     0.2,    18.5,     0.2,     9.8,
505,2001-06-14,,    -4.4,     4.4,    -6.1,    -1.5,
505,2001-06-15,,    -1.7,     3.5,    -5.3,    -1.5,
505,2001-06-16,,     4.4,    12.2,    -2.6,     5.5,
505,2001-06-17,,     6.0,    17.5,     2.5,     9.7,
505,2001-06-18,,     6.9,    19.6,     5.0,    11.6,
505,2001-06-19,,     4.8,    19.5,     4.8,    11.9,
505,2001-06-20,,     4.3,    18.6,     3.7,    10.0,
505,2001-06-21,,     4.1,    17.8,     3.7,     9.6,
505,2001-06-22,,     6.0,    17.9,     3.1,    10.2,
505,2001-06-23,,     6.3,    19.2,     5.4,    10.9,
505,2001-06-24,,     7.5,    21.0,     6.1,    11.9,
505,2001-06-25,,     6.6,    20.2,     6.1,    10.6,
505,2001-06-26,,     6.8,    19.2,     5.8,    10.2,
505,2001-06-27,,     5.6,    17.2,     5.6,     9.5,
505,2001-06-28,,     5.7,    15.6,     4.1,     9.2,
505,2001-06-29,,     7.5,    19.8,     5.0,    11.6,
505,2001-06-30,,     8.0,    20.9,     7.1,    12.6,
505,2001-07-01,,    11.0,    21.7,     7.5,    13.9,
505,2001-07-02,,     9.7,    23.6,     8.7,    14.4,
505,2001-07-03,,     8.8,    21.8,     8.0,    12.4,
505,2001-07-04,,     9.2,    20.7,     7.3,    13.2,
505,2001-07-05,,    12.5,    22.4,     8.3,    14.3,
505,2001-07-06,,     9.9,    22.5,     9.1,    13.5,
505,2001-07-07,,     7.8,    22.5,     7.1,    12.3,
505,2001-07-08,,    10.7,    22.7,     6.9,    14.1,
505,2001-07-09,,     7.2,    20.5,     6.8,    10.5,
505,2001-07-10,,     6.5,    20.4,     6.5,    10.9,
505,2001-07-11,,     5.6,    19.2,     5.0,    10.5,
505,2001-07-12,,     6.7,    16.4,     5.0,    10.2,
505,2001-07-13,,     6.2,    19.1,     5.8,     9.7,
