

Colorado (PST) SNOTEL Site Grizzly Peak - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Thu Mar 23 11:52:56 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,
505,1985-01-01,,   -19.2,    -8.2,   -18.3,   -12.7,
505,1985-01-02,,   -22.3,   -16.9,   -24.4,   -20.2,
505,1985-01-03,,   -18.8,    -9.7,   -24.3,   -18.0,
505,1985-01-04,,   -12.6,    -5.9,   -19.7,   -13.1,
505,1985-01-05,,   -11.2,    -0.8,   -12.7,    -8.2,
505,1985-01-06,,    -7.5,    -0.5,   -12.0,    -8.4,
505,1985-01-07,,    -7.6,    -2.2,   -11.2,    -7.5,
505,1985-01-08,,    -7.5,     0.1,    -8.0,    -5.4,
505,1985-01-09,,   -13.4,    -1.9,   -11.6,    -6.9,
505,1985-01-10,,   -17.0,    -8.5,   -17.8,   -12.7,
505,1985-01-11,,   -17.5,    -6.0,   -18.5,   -13.4,
505,1985-01-12,,   -19.9,    -7.2,   -20.1,   -15.0,
505,1985-01-13,,   -15.1,    -6.6,   -20.1,   -15.8,
505,1985-01-14,,   -10.4,     0.1,   -16.6,    -9.5,
505,1985-01-15,,   -10.2,     0.2,   -11.9,    -7.4,
505,1985-01-16,,   -15.9,    -3.5,   -17.3,   -11.0,
505,1985-01-17,,   -13.7,   -10.7,   -17.1,   -13.9,
505,1985-01-18,,    -8.3,    -2.6,   -14.0,    -8.2,
505,1985-01-19,,    -8.9,    -4.7,   -10.6,    -7.4,
505,1985-01-20,,    -9.5,    -5.0,    -9.0,    -7.7,
505,1985-01-21,,    -8.3,    -6.4,    -9.7,    -8.5,
505,1985-01-22,,    -9.4,    -4.0,    -8.5,    -7.0,
505,1985-01-23,,   -17.7,    -7.4,   -17.9,   -11.6,
505,1985-01-24,,   -16.7,    -4.5,   -18.3,   -14.1,
505,1985-01-25,,   -14.9,    -0.4,   -16.9,   -11.8,
505,1985-01-26,,   -12.8,     1.1,   -15.0,    -9.8,
505,1985-01-27,,   -11.5,    -1.0,   -13.4,    -9.1,
505,1985-01-28,,   -16.4,    -6.2,   -15.1,   -10.9,
505,1985-01-29,,   -14.5,    -6.8,   -16.4,   -13.1,
505,1985-01-30,,   -19.5,    -7.6,   -17.1,   -14.3,
505,1985-01-31,,   -31.6,   -13.9,   -28.0,   -20.0,
505,1985-02-01,,   -50.0,   -20.6,   -50.0,   -32.3,
505,1985-02-02,,   -50.0,   -22.7,   -50.0,   -35.4,
505,1985-02-03,,   -23.4,   -13.7,   -22.8,   -19.5,
505,1985-02-04,,   -22.5,   -10.9,   -23.6,   -18.4,
505,1985-02-05,,   -28.5,   -13.3,   -25.0,   -20.1,
505,1985-02-06,,   -21.7,   -11.5,   -50.0,   -21.7,
505,1985-02-07,,   -22.2,   -14.4,   -23.3,   -19.5,
505,1985-02-08,,   -13.8,    -8.5,   -23.0,   -16.0,
505,1985-02-09,,   -10.4,     0.4,   -14.1,    -7.6,
505,1985-02-10,,   -18.0,    -3.1,   -12.9,    -8.4,
505,1985-02-11,,   -22.0,   -12.9,   -21.4,   -17.3,
505,1985-02-12,,   -10.8,    -8.6,   -24.3,   -15.3,
505,1985-02-13,,   -14.5,    -1.6,   -11.9,    -7.8,
505,1985-02-14,,   -12.6,    -4.9,   -15.2,   -11.3,
505,1985-02-15,,    -9.2,    -3.1,   -14.3,    -9.5,
505,1985-02-16,,   -10.1,     3.7,   -11.2,    -5.4,
505,1985-02-17,,    -8.4,    -0.6,   -10.8,    -7.1,
505,1985-02-18,,   -15.9,    -1.7,   -14.9,    -8.1,
505,1985-02-19,,   -12.7,    -0.3,   -16.3,    -9.9,
505,1985-02-20,,    -8.0,     5.7,   -12.7,    -5.3,
505,1985-02-21,,    -9.9,     1.7,    -9.0,    -4.5,
505,1985-02-22,,   -11.7,     2.4,   -10.1,    -5.6,
505,1985-02-23,,   -13.1,     2.0,   -12.0,    -7.9,
505,1985-02-24,,   -17.3,    -4.8,   -18.0,   -12.6,
505,1985-02-25,,   -12.4,     0.5,   -18.2,   -10.6,
